2008,Solar Mounting/Rack,"11/924,594",EDGE MOUNTABLE ELECTRICAL CONNECTION ASSEMBLY,"San Jose, CA",CA,USA,http://appft.uspto.gov/netacgi/nph-Parser?Sect1=PTO1&Sect2=HITOFF&d=PG01&p=1&u=%2Fnetahtml%2FPTO%2Fsrchnum.html&r=1&f=G&l=50&s1=%2220080156365%22.PGNR.&OS=DN/20080156365&RS=DN/20080156365
2008,Solar Inverter,"11/944,816",Ground Fault Detector Interrupter ,"(Puslinch, CA)",CA,USA,http://appft1.uspto.gov/netacgi/nph-Parser?Sect1=PTO1&Sect2=HITOFF&d=PG01&p=1&u=%2Fnetahtml%2FPTO%2Fsrchnum.html&r=1&f=G&l=50&s1=%2220080123226%22.PGNR.&OS=DN/20080123226&RS=DN/20080123226
2008,Solar Mounting/Rack,"11/947,718",SYSTEM AND METHOD FOR MOUNTING PHOTOVOLTAIC CELLS,"San Diego, CA",CA,USA,http://appft.uspto.gov/netacgi/nph-Parser?Sect1=PTO1&Sect2=HITOFF&d=PG01&p=1&u=%2Fnetahtml%2FPTO%2Fsrchnum.html&r=1&f=G&l=50&s1=%2220080149163%22.PGNR.&OS=DN/20080149163&RS=DN/20080149163
2008,Solar Inverter,"11/950,271",DISTRIBUTED POWER HARVESTING SYSTEMS USING DC POWER SOURCES ,"(Raanana, IL)",N/A,Israel,http://appft1.uspto.gov/netacgi/nph-Parser?Sect1=PTO1&Sect2=HITOFF&d=PG01&p=1&u=%2Fnetahtml%2FPTO%2Fsrchnum.html&r=1&f=G&l=50&s1=%2220080143188%22.PGNR.&OS=DN/20080143188&RS=DN/20080143188
2008,Solar Monitoring,"11/951,419 ",MONITORING OF DISTRIBUTED POWER HARVESTING SYSTEMS USING DC POWER SOURCES ,"Raanana, IL",N/A,Israel,http://appft1.uspto.gov/netacgi/nph-Parser?Sect1=PTO1&Sect2=HITOFF&d=PG01&p=1&u=%2Fnetahtml%2FPTO%2Fsrchnum.html&r=1&f=G&l=50&s1=%2220080147335%22.PGNR.&OS=DN/20080147335&RS=DN/20080147335
2009,Solar Monitoring,"11/972,222",System for Monitoring Individual Photovoltaic Modules,"New Port Richey, FL",FL,USA,http://appft1.uspto.gov/netacgi/nph-Parser?Sect1=PTO1&Sect2=HITOFF&d=PG01&p=1&u=%2Fnetahtml%2FPTO%2Fsrchnum.html&r=1&f=G&l=50&s1=%2220090179662%22.PGNR.&OS=DN/20090179662&RS=DN/20090179662
2009,Solar Monitoring,"11/997,686",Electrical Power Distribution and Control System,Alice Springs,N/A,Australia,http://appft1.uspto.gov/netacgi/nph-Parser?Sect1=PTO1&Sect2=HITOFF&d=PG01&p=1&u=%2Fnetahtml%2FPTO%2Fsrchnum.html&r=1&f=G&l=50&s1=%2220090008998%22.PGNR.&OS=DN/20090008998&RS=DN/20090008998
2009,Solar Mounting/Rack,"12/046,113",Photovoltaic System and Method,"LaJolla, CA",CA,USA,http://appft1.uspto.gov/netacgi/nph-Parser?Sect1=PTO1&Sect2=HITOFF&d=PG01&p=1&u=%2Fnetahtml%2FPTO%2Fsrchnum.html&r=1&f=G&l=50&s1=%2220090229200%22.PGNR.&OS=DN/20090229200&RS=DN/20090229200
2008,Solar Mounting/Rack,"12/069,094",Leadframe based photo voltaic electronic assembly,"Bloomfield, CA",CA,USA,http://appft.uspto.gov/netacgi/nph-Parser?Sect1=PTO1&Sect2=HITOFF&d=PG01&p=1&u=%2Fnetahtml%2FPTO%2Fsrchnum.html&r=1&f=G&l=50&s1=%2220080190480%22.PGNR.&OS=DN/20080190480&RS=DN/20080190480
2008,Solar Monitoring,"12/070,925",Remote access energy meter system and method,"Hempstead, NY",NY,USA,http://appft1.uspto.gov/netacgi/nph-Parser?Sect1=PTO1&Sect2=HITOFF&d=PG01&p=1&u=%2Fnetahtml%2FPTO%2Fsrchnum.html&r=1&f=G&l=50&s1=%2220080143554%22.PGNR.&OS=DN/20080143554&RS=DN/20080143554
2009,Solar Inverter,"12/075,588",Boost converter input ripple current reduction circuit,"Schenectady, NY",NY,USA,http://appft1.uspto.gov/netacgi/nph-Parser?Sect1=PTO1&Sect2=HITOFF&d=PG01&p=1&u=%2Fnetahtml%2FPTO%2Fsrchnum.html&r=1&f=G&l=50&s1=%2220090231890%22.PGNR.&OS=DN/20090231890&RS=DN/20090231890
2009,Solar Mounting/Rack,"12/085,918",Panel Form Photovoltaic Frameless Solar Module,(Coswig),N/A,Germany,http://appft1.uspto.gov/netacgi/nph-Parser?Sect1=PTO1&Sect2=HITOFF&d=PG01&p=1&u=%2Fnetahtml%2FPTO%2Fsrchnum.html&r=1&f=G&l=50&s1=%2220090283136%22.PGNR.&OS=DN/20090283136&RS=DN/20090283136
2009,Solar Monitoring,"12/088,978",System and Method for Array and String Level Monitoring of a Grid-Connected Photovoltaic Power System,"Novato, CA",CA,USA,http://appft1.uspto.gov/netacgi/nph-Parser?Sect1=PTO1&Sect2=HITOFF&d=PG01&p=1&u=%2Fnetahtml%2FPTO%2Fsrchnum.html&r=1&f=G&l=50&s1=%2220090012917%22.PGNR.&OS=DN/20090012917&RS=DN/20090012917
2008,Solar Mounting/Rack,"12/090,358",Solar Power System with a Number of Photovoltaic Modules,Dusseldorf,N/A,Germany,http://appft1.uspto.gov/netacgi/nph-Parser?Sect1=PTO1&Sect2=HITOFF&d=PG01&p=1&u=%2Fnetahtml%2FPTO%2Fsrchnum.html&r=1&f=G&l=50&s1=%2220080257402%22.PGNR.&OS=DN/20080257402&RS=DN/20080257402
2009,Solar Mounting/Rack,"12/102,557",APPARATUS FOR MOUNTING A SOLAR PANEL AND METHOD AND APPARATUS FOR FORMING THE MOUNTING APPARATUS ,"Troutman, NC",NC,USA,http://appft.uspto.gov/netacgi/nph-Parser?Sect1=PTO1&Sect2=HITOFF&d=PG01&p=1&u=%2Fnetahtml%2FPTO%2Fsrchnum.html&r=1&f=G&l=50&s1=%2220090255530%22.PGNR.&OS=DN/20090255530&RS=DN/20090255530
2009,Solar Mounting/Rack,"12/108,824",PANEL AND PANEL MOUNT SYSTEM,"Los Angeles, CA",CA,USA,http://appft1.uspto.gov/netacgi/nph-Parser?Sect1=PTO1&Sect2=HITOFF&d=PG01&p=1&u=%2Fnetahtml%2FPTO%2Fsrchnum.html&r=1&f=G&l=50&s1=%2220090266352%22.PGNR.&OS=DN/20090266352&RS=DN/20090266352
2009,Solar Monitoring,"12/118,807",METHOD AND SYSTEM TO QUANTIFY PERFORMANCE OF A POWER GENERATING SYSTEM ,"Schenectady, NY",NY,USA,http://appft1.uspto.gov/netacgi/nph-Parser?Sect1=PTO1&Sect2=HITOFF&d=PG01&p=1&u=%2Fnetahtml%2FPTO%2Fsrchnum.html&r=1&f=G&l=50&s1=%2220090281820%22.PGNR.&OS=DN/20090281820&RS=DN/20090281820
2008,Solar Inverter,"12/121,578",PHOTOVOLTAIC AC INVERTER MOUNT AND INTERCONNECT,"Colorado Springs, CO",CO,USA,http://appft1.uspto.gov/netacgi/nph-Parser?Sect1=PTO1&Sect2=HITOFF&d=PG01&p=1&u=%2Fnetahtml%2FPTO%2Fsrchnum.html&r=1&f=G&l=50&s1=%2220080283118%22.PGNR.&OS=DN/20080283118&RS=DN/20080283118
2008,Solar Inverter,"12/121,580",PHOTOVOLTAIC MODULE-MOUNTED AC INVERTER,"Colorado Springs, CO",CO,USA,http://appft1.uspto.gov/netacgi/nph-Parser?Sect1=PTO1&Sect2=HITOFF&d=PG01&p=1&u=%2Fnetahtml%2FPTO%2Fsrchnum.html&r=1&f=G&l=50&s1=%2220080285317%22.PGNR.&OS=DN/20080285317&RS=DN/20080285317
2008,Solar Inverter,"12/122,950",COMMON MODE FILTER SYSTEM AND METHOD FOR A SOLAR POWER INVERTER,"Fort Collins, CO",CO,USA,http://appft1.uspto.gov/netacgi/nph-Parser?Sect1=PTO1&Sect2=HITOFF&d=PG01&p=1&u=%2Fnetahtml%2FPTO%2Fsrchnum.html&r=1&f=G&l=50&s1=%2220080291706%22.PGNR.&OS=DN/20080291706&RS=DN/20080291706
2009,Solar Mounting/Rack,"12/131,556",TERRESTRIAL SOLAR ARRAY INCLUDING A RIGID SUPPORT FRAME,"Albuquerque, NM",NM,USA,http://appft1.uspto.gov/netacgi/nph-Parser?Sect1=PTO1&Sect2=HITOFF&d=PG01&p=1&u=%2Fnetahtml%2FPTO%2Fsrchnum.html&r=1&f=G&l=50&s1=%2220090032086%22.PGNR.&OS=DN/20090032086&RS=DN/20090032086
2008,Solar Mounting/Rack,"12/134,040",METHOD OF MANUFACTURING AN INTEGRATED SOLAR ROOFING TILE ,"Philadelphia,PA",PA,USA,http://appft.uspto.gov/netacgi/nph-Parser?Sect1=PTO1&Sect2=HITOFF&d=PG01&p=1&u=%2Fnetahtml%2FPTO%2Fsrchnum.html&r=1&f=G&l=50&s1=%2220080302408%22.PGNR.&OS=DN/20080302408&RS=DN/20080302408
2009,Site Assessment,"12/141,795 ","Systems and Methods for Solar mapping, Determining a Usable Area for Solar Energy Production and/or Providing Solar Information","Englewood, CO",CO,USA,http://appft1.uspto.gov/netacgi/nph-Parser?Sect1=PTO1&Sect2=HITOFF&d=PG01&p=1&u=%2Fnetahtml%2FPTO%2Fsrchnum.html&r=1&f=G&l=50&s1=%2220090177458%22.PGNR.&OS=DN/20090177458&RS=DN/20090177458
2009,Solar Inverter,"12/153,381",Inverter,(Taipei City),N/A,Taiwan,http://appft1.uspto.gov/netacgi/nph-Parser?Sect1=PTO1&Sect2=HITOFF&d=PG01&p=1&u=%2Fnetahtml%2FPTO%2Fsrchnum.html&r=1&f=G&l=50&s1=%2220090284074%22.PGNR.&OS=DN/20090284074&RS=DN/20090284074
2009,Solar Monitoring,"12/156,935",Photovoltaic solar array health monitor,"Phoenix, AZ",AZ,USA,http://appft1.uspto.gov/netacgi/nph-Parser?Sect1=PTO1&Sect2=HITOFF&d=PG01&p=1&u=%2Fnetahtml%2FPTO%2Fsrchnum.html&r=1&f=G&l=50&s1=%2220080306700%22.PGNR.&OS=DN/20080306700&RS=DN/20080306700
2008,Solar Mounting/Rack,"12/158,419","Solar Energy Collection Device for Tiled Roofs, and a Method for Mounting the Same ",(Muchamiel),N/A,Spain,http://appft.uspto.gov/netacgi/nph-Parser?Sect1=PTO1&Sect2=HITOFF&d=PG01&p=1&u=%2Fnetahtml%2FPTO%2Fsrchnum.html&r=1&f=G&l=50&s1=%2220080308093%22.PGNR.&OS=DN/20080308093&RS=DN/20080308093
