PatId	Patnum	Year	OrigTechArea	city	state	state	country	topicId	ourTechArea	origCPC1	origCPC2	origCPC3	ourCPCnum1	ourCPCnum2	ourCPCnum3	GeoCode
pat0639	num-13/029 585	yr2011	Solar Inverter	Niestetal	N/A	N/A	Germany	8	Solar Inverter	H02H			H01L	Y02E	Y02B	germany
pat0099	num-7807919	yr2010	Solar Inverter	Los Gatos  CA	CA	CA	USA	8	Solar Inverter	Y02E	H01L		H01L	Y02E	Y02B	Bay_Area
pat0770	num-13/318 589	yr2012	Solar Inverter	Boulder  CO	CO	CO	USA	0	Solar Inverter	Y02B	Y02E	H01L	H02M	Y02E	H02J	CO
pat0421	num-12/368 887	yr2009	Solar Mounting/Rack	Santa Clara  CA	CA	CA	USA	14	Solar Mounting/Rack	F24J	Y02E	H01L	F24J	Y02E	H01L	Bay_Area
pat0419	num-12/362 671	yr2009	Solar Mounting/Rack	Warrenville  IL	IL	IL	USA	2	Solar Mounting/Rack	F24J	H01L	F24J	F24J	Y02E	H01L	IL
pat0239	num-8184460	yr2012	Solar Inverter	Niskayuna  NY	NY	NY	USA	0	Solar Inverter	Y02E	H01L	H02M	H02M	Y02E	H02J	NY
pat0336	num-11/465 787	yr2008	Solar Mounting/Rack	San Jose  CA	CA	CA	USA	8	Solar Inverter	B23K	H01L	B23K	H01L	Y02E	Y02B	Bay_Area
pat0328	num-11/046 201	yr2005	Solar Mounting/Rack	Kyoto	N/A	N/A	Japan	2	Solar Mounting/Rack	F24J	Y02E	H01L	F24J	Y02E	H01L	jp
pat0564	num-12/862 205	yr2012	Solar Monitoring	Moriguchi City	N/A	N/A	Japan	7	Solar Inverter	G01R			Y02E	H02J	H01L	jp
pat0662	num-13/075 093	yr2012	Solar Monitoring	Los Gatos  CA	CA	CA	USA	12	Solar Mounting/Rack	H02H	H01L		Y02E	H01L	F24J	Bay_Area
pat0572	num-12/892 130	yr2012	Solar Monitoring	Schenectady  NY	NY	NY	USA	3	Solar Monitoring	G06F			H02J	Y02E	Y02B	NY
pat0127	num-7866098	yr2011	Solar Mounting/Rack	Saratoga  CA	CA	CA	USA	12	Solar Mounting/Rack	F24J	Y02E	H01L	Y02E	H01L	F24J	Bay_Area
pat0243	num-8192233	yr2012	Solar Mounting/Rack	Berwyn  PA	PA	PA	USA	9	Solar Mounting/Rack	H01R	Y02E	H01L	H01L	Y02E	H01R	PA
pat0560	num-12/856 827	yr2011	Solar Mounting/Rack	Colorado Springs  CO	CO	CO	USA	14	Solar Mounting/Rack	F24J	H01L	Y02B	F24J	Y02E	H01L	CO
pat0448	num-12/491 641	yr2011	Solar Monitoring	Snoqualmie  WA	WA	WA	USA	9	Solar Mounting/Rack	H02J	Y02B		H01L	Y02E	H01R	WA
pat0011	num-7155870	yr2007	Solar Mounting/Rack	Berkeley  CA	CA	CA	USA	2	Solar Mounting/Rack	E04D	F24J	Y02E	F24J	Y02E	H01L	Bay_Area
pat0002	num-6928775	yr2005	Solar Mounting/Rack	Tucson  AZ	AZ	AZ	USA	13	Solar Mounting/Rack	Y02B	H01L	Y02E	H01L	Y02E	F24J	AZ
