PatId	Patnum	Year	OrigTechArea	city	state	state	country	topicId	ourTechArea	ourCPCnum1	ourCPCnum2	ourCPCnum3	GeoCode	origCPC1	origCPC2	origCPC3
pat0317	num-8338989	yr2012	Solar Inverter	Perrysburg  OH	OH	OH	USA	6	Solar Inverter	H02J	Y02E	H02M	OH	H02M	H02J	
pat0552	num-12/845 802	yr2012	Solar Inverter	Schenectady  NY	NY	NY	USA	6	Solar Inverter	H02J	Y02E	H02M	NY	F24J	Y02E	H01L
pat0403	num-12/275 147	yr2009	Solar Mounting/Rack	Albuquerque  NM	NM	NM	USA	14	Solar Mounting/Rack	F24J	Y02E	H01L	NM	H02J	Y02E	
pat0676	num-13/091 960	yr2011	Solar Mounting/Rack	Richmond  CA	CA	CA	USA	14	Solar Mounting/Rack	F24J	Y02E	H01L	Bay_Area	G05B	Y02E	G06F
pat0110	num-7824189	yr2010	Solar Mounting/Rack	Berwyn  PA	PA	PA	USA	9	Solar Mounting/Rack	H01L	Y02E	H01R	PA	G05B	H02J	G05B
pat0722	num-13/200 190	yr2012	Solar Inverter	Westford  MA	MA	MA	USA	9	Solar Mounting/Rack	H01L	Y02E	H01R	MA	G05F		
pat0083	num-7748175	yr2010	Solar Mounting/Rack	Albuquerque  NM	NM	NM	USA	14	Solar Mounting/Rack	F24J	Y02E	H01L	NM	Y02E	F24J	Y02B
pat0396	num-12/218 507	yr2009	Solar Monitoring	Marrickville	N/A	N/A	Australia	3	Solar Monitoring	H02J	Y02E	Y02B	oceana	H02H		
pat0238	num-8183457	yr2012	Solar Mounting/Rack	San Diego  CA	CA	CA	USA	13	Solar Mounting/Rack	H01L	Y02E	F24J	SOCAL	G06Q		
pat0165	num-7974079	yr2011	Solar Mounting/Rack	Armonk  NY	NY	NY	USA	9	Solar Mounting/Rack	H01L	Y02E	H01R	NY	H02M	H02J	
pat0713	num-13/181 269	yr2012	Solar Inverter	Fort Collins  CO	CO	CO	USA	1	Site Assessment	G01W	G06Q	G01R	CO	Y02B	H02M	Y02B
pat0695	num-13/138 413	yr2011	Solar Mounting/Rack	Pettenbach	N/A	N/A	Austria	9	Solar Mounting/Rack	H01L	Y02E	H01R	europe	H02M		
pat0584	num-12/904 972	yr2011	Solar Monitoring	San Jose  CA	CA	CA	USA	12	Solar Mounting/Rack	Y02E	H01L	F24J	Bay_Area	H01R	H01L	
pat0592	num-12/914 599	yr2011	Solar Mounting/Rack	Poway  CA	CA	CA	USA	2	Solar Mounting/Rack	F24J	Y02E	H01L	SOCAL	H01R	H01L	
pat0201	num-8094475	yr2012	Solar Inverter	Niestetal	N/A	N/A	Germany	0	Solar Inverter	H02M	Y02E	H02J	germany	Y02B	G05F	
