PatId, OrigTechArea, topicId, ourTechArea, ourCPCnum1, ourCPCnum2, ourCPCnum3 
pat621,Solar Mounting/Rack,11,Solar Mounting/Rack,Y02E,H01L,F24J
pat5,Solar Inverter,8,Solar Inverter,Y02E,H01L,H02J
pat760,Solar Mounting/Rack,7,Solar Mounting/Rack,Y02E,H01L,Y02B
pat364,Solar Inverter,2,Solar Mounting/Rack,H01L,Y02E,F24J
pat468,Solar Inverter,5,Solar Inverter,H02J,Y02E,H02M
pat529,Solar Monitoring,8,Solar Inverter,Y02E,H01L,H02J
pat442,Solar Inverter,5,Solar Inverter,H02J,Y02E,H02M
pat489,Solar Inverter; Solar Monitoring,8,Solar Inverter,Y02E,H01L,H02J
pat385,Solar Inverter,5,Solar Inverter,H02J,Y02E,H02M
pat503,Solar Monitoring,1,Solar Monitoring,Y04S,H04Q,Y02E
pat107,Solar Mounting/Rack,3,Solar Mounting/Rack,NO_CPC,NO_CPC,NO_CPC
pat781,Solar Mounting/Rack,2,Solar Mounting/Rack,H01L,Y02E,F24J
pat794,Solar Mounting/Rack,9,Solar Mounting/Rack,H01L,Y02E,F24J
pat112,Site Assessment,12,Site Assessment,H01L,Y02E,G01R
pat516,Solar Monitoring,1,Solar Monitoring,Y04S,H04Q,Y02E
pat15,Solar Monitoring,4,Solar Monitoring,H02J,Y02E,Y02B
pat457,Solar Inverter,4,Solar Monitoring,H02J,Y02E,Y02B
pat390,Solar Inverter,14,Solar Inverter,H02M,Y02E,H02J
pat602,Solar Mounting/Rack,10,Solar Mounting/Rack,Y02E,H01L,Y02B
pat743,Solar Mounting/Rack,13,Solar Mounting/Rack,F24J,Y02E,H01L
pat788,Solar Mounting/Rack,9,Solar Mounting/Rack,H01L,Y02E,F24J
pat480,Solar Inverter; Solar Monitoring,7,Solar Mounting/Rack,Y02E,H01L,Y02B
pat347,Solar Inverter,9,Solar Mounting/Rack,H01L,Y02E,F24J
pat206,Solar Monitoring,5,Solar Inverter,H02J,Y02E,H02M
pat213,Solar Inverter,8,Solar Inverter,Y02E,H01L,H02J
pat399,Solar Inverter,9,Solar Mounting/Rack,H01L,Y02E,F24J
pat352,Solar Inverter,5,Solar Inverter,H02J,Y02E,H02M
pat756,Solar Mounting/Rack,4,Solar Monitoring,H02J,Y02E,Y02B
pat847,Solar Track; Solar Mounting/Rack,11,Solar Mounting/Rack,Y02E,H01L,F24J
pat617,Solar Mounting/Rack,11,Solar Mounting/Rack,Y02E,H01L,F24J
pat131,Solar Inverter; Solar Monitoring,2,Solar Mounting/Rack,H01L,Y02E,F24J
pat239,Solar Mounting/Rack,7,Solar Mounting/Rack,Y02E,H01L,Y02B
pat535,Solar Monitoring,0,Solar Inverter,H02J,Y02E,Y02B
pat378,Solar Inverter,8,Solar Inverter,Y02E,H01L,H02J
pat474,Solar Inverter;  Solar Mounting/Rack,6,Solar Mounting/Rack,H01L,Y02B,Y02E
pat36,Solar Inverter,4,Solar Monitoring,H02J,Y02E,Y02B
pat23,Solar Mounting/Rack,13,Solar Mounting/Rack,F24J,Y02E,H01L
pat461,Solar Inverter,2,Solar Mounting/Rack,H01L,Y02E,F24J
pat520,Solar Monitoring,4,Solar Monitoring,H02J,Y02E,Y02B
pat124,Solar Mounting/Rack,7,Solar Mounting/Rack,Y02E,H01L,Y02B
pat628,Solar Mounting/Rack,6,Solar Mounting/Rack,H01L,Y02B,Y02E
pat769,Solar Mounting/Rack,13,Solar Mounting/Rack,F24J,Y02E,H01L
pat350,Solar Inverter,4,Solar Monitoring,H02J,Y02E,Y02B
pat497,Solar Monitoring,1,Solar Monitoring,Y04S,H04Q,Y02E
pat211,Solar Mounting/Rack,10,Solar Mounting/Rack,Y02E,H01L,Y02B
pat119,Solar Mounting/Rack,10,Solar Mounting/Rack,Y02E,H01L,Y02B
pat845,Solar Mounting/Rack; Solar Track,11,Solar Mounting/Rack,Y02E,H01L,F24J
pat754,Solar Mounting/Rack,5,Solar Inverter,H02J,Y02E,H02M
pat741,Solar Mounting/Rack,2,Solar Mounting/Rack,H01L,Y02E,F24J
pat600,Solar Mounting/Rack,13,Solar Mounting/Rack,F24J,Y02E,H01L
pat204,Solar Inverter,8,Solar Inverter,Y02E,H01L,H02J
pat508,Solar Monitoring,1,Solar Monitoring,Y04S,H04Q,Y02E
pat345,Solar Inverter,4,Solar Monitoring,H02J,Y02E,Y02B
pat482,Solar Inverter; Solar Monitoring,8,Solar Inverter,Y02E,H01L,H02J
pat449,Solar Inverter,8,Solar Inverter,Y02E,H01L,H02J
pat522,Solar Monitoring,1,Solar Monitoring,Y04S,H04Q,Y02E
pat21,Solar Mounting/Rack,11,Solar Mounting/Rack,Y02E,H01L,F24J
pat463,Solar Inverter,8,Solar Inverter,Y02E,H01L,H02J
pat126,Solar Mounting/Rack,2,Solar Mounting/Rack,H01L,Y02E,F24J
pat133,Solar Mounting/Rack,10,Solar Mounting/Rack,Y02E,H01L,Y02B
pat476,Solar Inverter; Solar Monitoring,11,Solar Mounting/Rack,Y02E,H01L,F24J
pat34,Solar Mounting/Rack,2,Solar Mounting/Rack,H01L,Y02E,F24J
pat537,Solar Monitoring,6,Solar Mounting/Rack,H01L,Y02B,Y02E
pat762,Solar Mounting/Rack,2,Solar Mounting/Rack,H01L,Y02E,F24J
pat7,Solar Mounting/Rack,13,Solar Mounting/Rack,F24J,Y02E,H01L
pat623,Solar Mounting/Rack,13,Solar Mounting/Rack,F24J,Y02E,H01L
pat227,Site Assessment,12,Site Assessment,H01L,Y02E,G01R
pat28,Solar Inverter,7,Solar Mounting/Rack,Y02E,H01L,Y02B
pat366,Solar Inverter,5,Solar Inverter,H02J,Y02E,H02M
pat373,Solar Inverter,5,Solar Inverter,H02J,Y02E,H02M
pat636,Solar Mounting/Rack,13,Solar Mounting/Rack,F24J,Y02E,H01L
pat777,Solar Mounting/Rack,6,Solar Mounting/Rack,H01L,Y02B,Y02E
pat796,Solar Mounting/Rack,13,Solar Mounting/Rack,F24J,Y02E,H01L
pat359,Solar Inverter,14,Solar Inverter,H02M,Y02E,H02J
pat392,Solar Inverter,8,Solar Inverter,Y02E,H01L,H02J
