PatId, OrigTechArea, topicId, ourTechArea, ourCPCnum1, ourCPCnum2, ourCPCnum3 
pat397,Solar Inverter,5,Solar Inverter,H02J,Y02E,H02M
pat445,Solar Inverter,8,Solar Inverter,Y02E,H01L,H02J
pat382,Solar Inverter,12,Site Assessment,H01L,Y02E,G01R
pat349,Solar Inverter,6,Solar Mounting/Rack,H01L,Y02B,Y02E
pat504,Solar Monitoring,1,Solar Monitoring,Y04S,H04Q,Y02E
pat208,Solar Mounting/Rack,2,Solar Mounting/Rack,H01L,Y02E,F24J
pat100,Solar Mounting/Rack,2,Solar Mounting/Rack,H01L,Y02E,F24J
pat786,Solar Mounting/Rack,9,Solar Mounting/Rack,H01L,Y02E,F24J
pat518,Solar Monitoring,4,Solar Monitoring,H02J,Y02E,Y02B
pat459,Solar Inverter,5,Solar Inverter,H02J,Y02E,H02M
pat492,Solar Inverter; Solar Mounting/Rack,5,Solar Inverter,H02J,Y02E,H02M
pat355,Solar Inverter,14,Solar Inverter,H02M,Y02E,H02J
pat751,Solar Mounting/Rack,13,Solar Mounting/Rack,F24J,Y02E,H01L
pat840,Solar Mounting/Rack; Solar Inverter,13,Solar Mounting/Rack,F24J,Y02E,H01L
pat610,Solar Mounting/Rack,10,Solar Mounting/Rack,Y02E,H01L,Y02B
pat605,Solar Mounting/Rack,5,Solar Inverter,H02J,Y02E,H02M
pat109,Solar Mounting/Rack;,2,Solar Mounting/Rack,H01L,Y02E,F24J
pat744,Solar Mounting/Rack,4,Solar Monitoring,H02J,Y02E,Y02B
pat487,Solar Inverter; Solar Monitoring,4,Solar Monitoring,H02J,Y02E,Y02B
pat340,Solar Inverter,14,Solar Inverter,H02M,Y02E,H02J
pat201,Solar Mounting/Rack,13,Solar Mounting/Rack,F24J,Y02E,H01L
pat24,Solar Monitoring,1,Solar Monitoring,Y04S,H04Q,Y02E
pat466,Solar Inverter,5,Solar Inverter,H02J,Y02E,H02M
pat527,Solar Monitoring,14,Solar Inverter,H02M,Y02E,H02J
pat123,Solar Mounting/Rack,6,Solar Mounting/Rack,H01L,Y02B,Y02E
pat136,Solar Inverter;,8,Solar Inverter,Y02E,H01L,H02J
pat532,Solar Monitoring,1,Solar Monitoring,Y04S,H04Q,Y02E
pat473,Solar Inverter;,14,Solar Inverter,H02M,Y02E,H02J
pat31,Solar Inverter,14,Solar Inverter,H02M,Y02E,H02J
pat153,Solar Mounting/Rack;,13,Solar Mounting/Rack,F24J,Y02E,H01L
pat694,Solar Mounting/Rack,13,Solar Mounting/Rack,F24J,Y02E,H01L
pat54,Solar Mounting/Rack,4,Solar Monitoring,H02J,Y02E,Y02B
pat416,Solar Inverter,7,Solar Mounting/Rack,Y02E,H01L,Y02B
pat290,Solar Inverter; Solar Monitoring,3,Solar Mounting/Rack,NO_CPC,NO_CPC,NO_CPC
pat557,Solar Monitoring,11,Solar Mounting/Rack,Y02E,H01L,F24J
pat285,Solar Monitoring,1,Solar Monitoring,Y04S,H04Q,Y02E
pat589,Solar Mounting/Rack,5,Solar Inverter,H02J,Y02E,H02M
pat542,Solar Monitoring,11,Solar Mounting/Rack,Y02E,H01L,F24J
pat403,Solar Inverter,0,Solar Inverter,H02J,Y02E,Y02B
pat41,Solar Mounting/Rack,13,Solar Mounting/Rack,F24J,Y02E,H01L
pat146,Solar Mounting/Rack,6,Solar Mounting/Rack,H01L,Y02B,Y02E
pat681,Solar Mounting/Rack,13,Solar Mounting/Rack,F24J,Y02E,H01L
pat721,Solar Mounting/Rack,7,Solar Mounting/Rack,Y02E,H01L,Y02B
pat830,Solar Mounting/Rack,13,Solar Mounting/Rack,F24J,Y02E,H01L
pat660,Solar Mounting/Rack,13,Solar Mounting/Rack,F24J,Y02E,H01L
pat568,Solar Monitoring,4,Solar Monitoring,H02J,Y02E,Y02B
pat264,Solar Mounting/Rack,13,Solar Mounting/Rack,F24J,Y02E,H01L
pat429,Solar Inverter,8,Solar Inverter,Y02E,H01L,H02J
pat325,Solar Monitoring,1,Solar Monitoring,Y04S,H04Q,Y02E
pat330,Site Assessment,7,Solar Mounting/Rack,Y02E,H01L,Y02B
pat675,Solar Mounting/Rack,11,Solar Mounting/Rack,Y02E,H01L,F24J
pat179,Solar Inverter,1,Solar Monitoring,Y04S,H04Q,Y02E
pat734,Solar Mounting/Rack,13,Solar Mounting/Rack,F24J,Y02E,H01L
pat825,Solar Mounting/Rack,7,Solar Mounting/Rack,Y02E,H01L,Y02B
pat561,Solar Monitoring,4,Solar Monitoring,H02J,Y02E,Y02B
pat62,Solar Inverter; Solar Mounting/Rack,8,Solar Inverter,Y02E,H01L,H02J
pat420,Solar Inverter,5,Solar Inverter,H02J,Y02E,H02M
pat728,Solar Mounting/Rack,13,Solar Mounting/Rack,F24J,Y02E,H01L
pat839,Solar Mounting/Rack; Solar Inverter,2,Solar Mounting/Rack,H01L,Y02E,F24J
pat669,Solar Mounting/Rack,13,Solar Mounting/Rack,F24J,Y02E,H01L
pat165,Solar Inverter,5,Solar Inverter,H02J,Y02E,H02M
pat170,Solar Inverter; Solar Monitoring,6,Solar Mounting/Rack,H01L,Y02B,Y02E
pat435,Solar Inverter,5,Solar Inverter,H02J,Y02E,H02M
pat77,Solar Monitoring,4,Solar Monitoring,H02J,Y02E,Y02B
pat339,Solar Inverter,14,Solar Inverter,H02M,Y02E,H02J
pat574,Solar Monitoring; Solar Inverter,7,Solar Mounting/Rack,Y02E,H01L,Y02B
pat278,Solar Inverter,3,Solar Mounting/Rack,NO_CPC,NO_CPC,NO_CPC
pat313,Solar Inverter; Solar Monitoring,8,Solar Inverter,Y02E,H01L,H02J
pat96,Solar Mounting/Rack,10,Solar Mounting/Rack,Y02E,H01L,Y02B
pat252,Solar Mounting/Rack,7,Solar Mounting/Rack,Y02E,H01L,Y02B
pat299,Solar Inverter,3,Solar Mounting/Rack,NO_CPC,NO_CPC,NO_CPC
pat595,Solar Mounting/Rack,2,Solar Mounting/Rack,H01L,Y02E,F24J
pat191,Solar Monitoring,5,Solar Inverter,H02J,Y02E,H02M
pat656,Solar Mounting/Rack,13,Solar Mounting/Rack,F24J,Y02E,H01L
pat806,Solar Mounting/Rack,10,Solar Mounting/Rack,Y02E,H01L,Y02B
pat717,Solar Mounting/Rack,9,Solar Mounting/Rack,H01L,Y02E,F24J
pat813,Solar Mounting/Rack,4,Solar Monitoring,H02J,Y02E,Y02B
pat702,Solar Mounting/Rack,13,Solar Mounting/Rack,F24J,Y02E,H01L
pat184,Solar Inverter,14,Solar Inverter,H02M,Y02E,H02J
pat688,Solar Mounting/Rack,10,Solar Mounting/Rack,Y02E,H01L,Y02B
pat643,Solar Mounting/Rack,13,Solar Mounting/Rack,F24J,Y02E,H01L
pat580,Solar Monitoring; Solar Inverter,6,Solar Mounting/Rack,H01L,Y02B,Y02E
pat48,Solar Monitoring,1,Solar Monitoring,Y04S,H04Q,Y02E
pat83,Solar Monitoring,4,Solar Monitoring,H02J,Y02E,Y02B
pat657,Solar Mounting/Rack,7,Solar Mounting/Rack,Y02E,H01L,Y02B
pat190,Solar Mounting/Rack,9,Solar Mounting/Rack,H01L,Y02E,F24J
pat716,Solar Mounting/Rack,13,Solar Mounting/Rack,F24J,Y02E,H01L
pat807,Solar Mounting/Rack,13,Solar Mounting/Rack,F24J,Y02E,H01L
pat97,Solar Mounting/Rack,11,Solar Mounting/Rack,Y02E,H01L,F24J
pat312,Solar Inverter,3,Solar Mounting/Rack,NO_CPC,NO_CPC,NO_CPC
pat594,Solar Mounting/Rack,2,Solar Mounting/Rack,H01L,Y02E,F24J
pat253,Solar Inverter,14,Solar Inverter,H02M,Y02E,H02J
pat298,Solar Monitoring,3,Solar Mounting/Rack,NO_CPC,NO_CPC,NO_CPC
pat49,Site Assessment,1,Solar Monitoring,Y04S,H04Q,Y02E
pat82,Solar Mounting/Rack,13,Solar Mounting/Rack,F24J,Y02E,H01L
pat307,Solar Mounting/Rack,3,Solar Mounting/Rack,NO_CPC,NO_CPC,NO_CPC
pat703,Solar Mounting/Rack,9,Solar Mounting/Rack,H01L,Y02E,F24J
pat812,Solar Mounting/Rack,13,Solar Mounting/Rack,F24J,Y02E,H01L
pat689,Solar Mounting/Rack,13,Solar Mounting/Rack,F24J,Y02E,H01L
pat642,Solar Mounting/Rack,7,Solar Mounting/Rack,Y02E,H01L,Y02B
pat185,Solar Inverter; Solar Monitoring,4,Solar Monitoring,H02J,Y02E,Y02B
pat838,Solar Mounting/Rack;,13,Solar Mounting/Rack,F24J,Y02E,H01L
pat729,Solar Mounting/Rack,13,Solar Mounting/Rack,F24J,Y02E,H01L
pat164,Solar Inverter; Solar Monitoring,5,Solar Inverter,H02J,Y02E,H02M
pat668,Solar Mounting/Rack,13,Solar Mounting/Rack,F24J,Y02E,H01L
pat560,Solar Monitoring,1,Solar Monitoring,Y04S,H04Q,Y02E
pat63,Solar Mounting/Rack; Solar Monitoring,7,Solar Mounting/Rack,Y02E,H01L,Y02B
pat421,Solar Inverter,0,Solar Inverter,H02J,Y02E,Y02B
pat338,Solar Inverter,5,Solar Inverter,H02J,Y02E,H02M
pat434,Solar Inverter,5,Solar Inverter,H02J,Y02E,H02M
pat76,Solar Inverter,5,Solar Inverter,H02J,Y02E,H02M
pat575,Solar Monitoring; Solar Inverter,9,Solar Mounting/Rack,H01L,Y02E,F24J
pat171,Solar Monitoring,4,Solar Monitoring,H02J,Y02E,Y02B
pat265,Solar Inverter; Solar Monitoring,5,Solar Inverter,H02J,Y02E,H02M
pat569,Solar Monitoring,1,Solar Monitoring,Y04S,H04Q,Y02E
pat324,Solar Inverter,1,Solar Monitoring,Y04S,H04Q,Y02E
pat428,Solar Inverter,8,Solar Inverter,Y02E,H01L,H02J
pat831,Solar Mounting/Rack Junction box,13,Solar Mounting/Rack,F24J,Y02E,H01L
pat720,Solar Mounting/Rack,13,Solar Mounting/Rack,F24J,Y02E,H01L
pat661,Solar Mounting/Rack,5,Solar Inverter,H02J,Y02E,H02M
pat178,Solar Inverter,14,Solar Inverter,H02M,Y02E,H02J
pat674,Solar Mounting/Rack,4,Solar Monitoring,H02J,Y02E,Y02B
pat824,Solar Mounting/Rack,13,Solar Mounting/Rack,F24J,Y02E,H01L
pat735,Solar Mounting/Rack,8,Solar Inverter,Y02E,H01L,H02J
pat331,Site Assessment,4,Solar Monitoring,H02J,Y02E,Y02B
pat270,Solar Mounting/Rack,7,Solar Mounting/Rack,Y02E,H01L,Y02B
pat55,Solar Inverter,14,Solar Inverter,H02M,Y02E,H02J
pat417,Solar Inverter,5,Solar Inverter,H02J,Y02E,H02M
pat556,Solar Monitoring,1,Solar Monitoring,Y04S,H04Q,Y02E
pat291,Solar Monitoring,1,Solar Monitoring,Y04S,H04Q,Y02E
pat695,Solar Mounting/Rack,13,Solar Mounting/Rack,F24J,Y02E,H01L
pat152,Solar Mounting/Rack,11,Solar Mounting/Rack,Y02E,H01L,F24J
pat199,Solar Inverter,14,Solar Inverter,H02M,Y02E,H02J
pat680,Solar Mounting/Rack,13,Solar Mounting/Rack,F24J,Y02E,H01L
pat147,Solar Inverter,5,Solar Inverter,H02J,Y02E,H02M
pat588,Solar Mounting/Rack,11,Solar Mounting/Rack,Y02E,H01L,F24J
pat543,Solar Monitoring,4,Solar Monitoring,H02J,Y02E,Y02B
pat402,Solar Inverter,7,Solar Mounting/Rack,Y02E,H01L,Y02B
pat40,Solar Mounting/Rack,11,Solar Mounting/Rack,Y02E,H01L,F24J
pat122,Solar Inverter,14,Solar Inverter,H02M,Y02E,H02J
pat467,Solar Inverter,12,Site Assessment,H01L,Y02E,G01R
pat526,Solar Monitoring,1,Solar Monitoring,Y04S,H04Q,Y02E
pat533,Solar Monitoring,5,Solar Inverter,H02J,Y02E,H02M
pat472,Solar Inverter;,5,Solar Inverter,H02J,Y02E,H02M
pat30,Solar Mounting/Rack,4,Solar Monitoring,H02J,Y02E,Y02B
pat137,Solar Mounting/Rack,6,Solar Mounting/Rack,H01L,Y02B,Y02E
pat841,Solar Mounting/Rack; Solar Inverter,13,Solar Mounting/Rack,F24J,Y02E,H01L
pat750,Solar Mounting/Rack,9,Solar Mounting/Rack,H01L,Y02E,F24J
pat611,Solar Mounting/Rack,13,Solar Mounting/Rack,F24J,Y02E,H01L
pat215,Solar Mounting/Rack,6,Solar Mounting/Rack,H01L,Y02B,Y02E
pat519,Solar Monitoring,12,Site Assessment,H01L,Y02E,G01R
pat354,Solar Inverter,9,Solar Mounting/Rack,H01L,Y02E,F24J
pat458,Solar Inverter,5,Solar Inverter,H02J,Y02E,H02M
pat493,Solar Inverter; Solar Mounting/Rack,14,Solar Inverter,H02M,Y02E,H02J
pat341,Solar Inverter,8,Solar Inverter,Y02E,H01L,H02J
pat486,Solar Inverter; Solar Monitoring,4,Solar Monitoring,H02J,Y02E,Y02B
pat200,Solar Mounting/Rack,2,Solar Mounting/Rack,H01L,Y02E,F24J
pat108,Solar Mounting/Rack,13,Solar Mounting/Rack,F24J,Y02E,H01L
pat604,Solar Mounting/Rack,0,Solar Inverter,H02J,Y02E,Y02B
pat745,Solar Mounting/Rack,13,Solar Mounting/Rack,F24J,Y02E,H01L
pat510,Solar Monitoring,1,Solar Monitoring,Y04S,H04Q,Y02E
pat396,Solar Inverter,9,Solar Mounting/Rack,H01L,Y02E,F24J
pat13,Solar Inverter,5,Solar Inverter,H02J,Y02E,H02M
pat451,Solar Inverter,1,Solar Monitoring,Y04S,H04Q,Y02E
pat759,Solar Mounting/Rack,7,Solar Mounting/Rack,Y02E,H01L,Y02B
pat792,Solar Mounting/Rack,7,Solar Mounting/Rack,Y02E,H01L,Y02B
pat618,Solar Mounting/Rack,13,Solar Mounting/Rack,F24J,Y02E,H01L
pat101,Solar Monitoring,5,Solar Inverter,H02J,Y02E,H02M
pat787,Solar Mounting/Rack,13,Solar Mounting/Rack,F24J,Y02E,H01L
pat383,Solar Inverter,11,Solar Mounting/Rack,Y02E,H01L,F24J
pat348,Solar Inverter,11,Solar Mounting/Rack,Y02E,H01L,F24J
pat444,Solar Inverter,5,Solar Inverter,H02J,Y02E,H02M
pat209,Solar Monitoring,1,Solar Monitoring,Y04S,H04Q,Y02E
pat505,Solar Monitoring,1,Solar Monitoring,Y04S,H04Q,Y02E
pat362,Solar Inverter,5,Solar Inverter,H02J,Y02E,H02M
pat223,Solar Monitoring; Solar Inverter,8,Solar Inverter,Y02E,H01L,H02J
pat627,Solar Mounting/Rack,13,Solar Mounting/Rack,F24J,Y02E,H01L
pat766,Solar Mounting/Rack,13,Solar Mounting/Rack,F24J,Y02E,H01L
pat3,Solar Mounting/Rack,9,Solar Mounting/Rack,H01L,Y02E,F24J
pat773,Solar Mounting/Rack,11,Solar Mounting/Rack,Y02E,H01L,F24J
pat632,Solar Mounting/Rack,13,Solar Mounting/Rack,F24J,Y02E,H01L
pat236,Solar Monitoring,1,Solar Monitoring,Y04S,H04Q,Y02E
pat39,Solar Mounting/Rack,7,Solar Mounting/Rack,Y02E,H01L,Y02B
pat377,Solar Inverter,5,Solar Inverter,H02J,Y02E,H02M
pat785,Solar Mounting/Rack,6,Solar Mounting/Rack,H01L,Y02B,Y02E
pat103,Solar Mounting/Rack,2,Solar Mounting/Rack,H01L,Y02E,F24J
pat507,Solar Monitoring,1,Solar Monitoring,Y04S,H04Q,Y02E
pat446,Solar Inverter,5,Solar Inverter,H02J,Y02E,H02M
pat381,Solar Inverter,2,Solar Mounting/Rack,H01L,Y02E,F24J
pat498,Solar Monitoring,10,Solar Mounting/Rack,Y02E,H01L,Y02B
pat11,Solar Mounting/Rack,13,Solar Mounting/Rack,F24J,Y02E,H01L
pat453,Solar Inverter,5,Solar Inverter,H02J,Y02E,H02M
pat394,Solar Inverter,7,Solar Mounting/Rack,Y02E,H01L,Y02B
pat512,Solar Monitoring,6,Solar Mounting/Rack,H01L,Y02B,Y02E
pat116,Solar Inverter,5,Solar Inverter,H02J,Y02E,H02M
pat790,Solar Mounting/Rack,11,Solar Mounting/Rack,Y02E,H01L,F24J
pat630,Solar Mounting/Rack,6,Solar Mounting/Rack,H01L,Y02B,Y02E
pat771,Solar Mounting/Rack,13,Solar Mounting/Rack,F24J,Y02E,H01L
pat375,Solar Inverter,12,Site Assessment,H01L,Y02E,G01R
pat479,Solar Inverter; Solar Monitoring,12,Site Assessment,H01L,Y02E,G01R
pat234,Solar Mounting/Rack,13,Solar Mounting/Rack,F24J,Y02E,H01L
pat538,Solar Monitoring,12,Site Assessment,H01L,Y02E,G01R
pat221,Site Assessment,12,Site Assessment,H01L,Y02E,G01R
pat360,Solar Inverter,0,Solar Inverter,H02J,Y02E,Y02B
pat1,Solar Monitoring,6,Solar Mounting/Rack,H01L,Y02B,Y02E
pat764,Solar Mounting/Rack,2,Solar Mounting/Rack,H01L,Y02E,F24J
pat129,Solar Monitoring,5,Solar Inverter,H02J,Y02E,H02M
pat625,Solar Mounting/Rack,13,Solar Mounting/Rack,F24J,Y02E,H01L
pat470,Solar Inverter,14,Solar Inverter,H02M,Y02E,H02J
pat32,Solar Monitoring,0,Solar Inverter,H02J,Y02E,Y02B
pat531,Solar Monitoring,1,Solar Monitoring,Y04S,H04Q,Y02E
pat135,Solar Monitoring,4,Solar Monitoring,H02J,Y02E,Y02B
pat639,Solar Mounting/Rack,13,Solar Mounting/Rack,F24J,Y02E,H01L
pat8,Solar Inverter,7,Solar Mounting/Rack,Y02E,H01L,Y02B
pat120,Solar Monitoring,4,Solar Monitoring,H02J,Y02E,Y02B
pat228,Site Assessment,12,Site Assessment,H01L,Y02E,G01R
pat524,Solar Monitoring,1,Solar Monitoring,Y04S,H04Q,Y02E
pat369,Solar Inverter,5,Solar Inverter,H02J,Y02E,H02M
pat27,Solar Monitoring,1,Solar Monitoring,Y04S,H04Q,Y02E
pat465,Solar Inverter,5,Solar Inverter,H02J,Y02E,H02M
pat484,Solar Inverter; Solar Monitoring,7,Solar Mounting/Rack,Y02E,H01L,Y02B
pat343,Solar Inverter,8,Solar Inverter,Y02E,H01L,H02J
pat388,Solar Inverter,5,Solar Inverter,H02J,Y02E,H02M
pat747,Solar Mounting/Rack,13,Solar Mounting/Rack,F24J,Y02E,H01L
pat606,Solar Mounting/Rack,13,Solar Mounting/Rack,F24J,Y02E,H01L
pat613,Solar Mounting/Rack,13,Solar Mounting/Rack,F24J,Y02E,H01L
pat799,Solar Mounting/Rack,9,Solar Mounting/Rack,H01L,Y02E,F24J
pat752,Solar Mounting/Rack,2,Solar Mounting/Rack,H01L,Y02E,F24J
pat843,Solar Mounting/Rack; Solar Inverter,8,Solar Inverter,Y02E,H01L,H02J
pat18,Solar Inverter,5,Solar Inverter,H02J,Y02E,H02M
pat491,Solar Inverter; Solar Mounting/Rack,12,Site Assessment,H01L,Y02E,G01R
pat356,Solar Inverter,4,Solar Monitoring,H02J,Y02E,Y02B
pat217,Solar Inverter,8,Solar Inverter,Y02E,H01L,H02J
pat737,Solar Mounting/Rack,13,Solar Mounting/Rack,F24J,Y02E,H01L
pat826,Solar Mounting/Rack,7,Solar Mounting/Rack,Y02E,H01L,Y02B
pat676,Solar Mounting/Rack,13,Solar Mounting/Rack,F24J,Y02E,H01L
pat272,Solar Inverter,5,Solar Inverter,H02J,Y02E,H02M
pat333,Site Assessment,1,Solar Monitoring,Y04S,H04Q,Y02E
pat68,Solar Inverter,13,Solar Mounting/Rack,F24J,Y02E,H01L
pat663,Solar Mounting/Rack,13,Solar Mounting/Rack,F24J,Y02E,H01L
pat722,Solar Mounting/Rack,13,Solar Mounting/Rack,F24J,Y02E,H01L
pat833,Solar Mounting/Rack;,13,Solar Mounting/Rack,F24J,Y02E,H01L
pat145,Solar Inverter,0,Solar Inverter,H02J,Y02E,Y02B
pat649,Solar Mounting/Rack,13,Solar Mounting/Rack,F24J,Y02E,H01L
pat682,Solar Mounting/Rack,13,Solar Mounting/Rack,F24J,Y02E,H01L
pat819,Solar Mounting/Rack,7,Solar Mounting/Rack,Y02E,H01L,Y02B
pat708,Solar Mounting/Rack,14,Solar Inverter,H02M,Y02E,H02J
pat400,Solar Inverter,8,Solar Inverter,Y02E,H01L,H02J
pat42,Solar Inverter,5,Solar Inverter,H02J,Y02E,H02M
pat541,Solar Monitoring,1,Solar Monitoring,Y04S,H04Q,Y02E
pat293,Solar Mounting/Rack,3,Solar Mounting/Rack,NO_CPC,NO_CPC,NO_CPC
pat258,Solar Inverter,14,Solar Inverter,H02M,Y02E,H02J
pat554,Solar Monitoring,12,Site Assessment,H01L,Y02E,G01R
pat319,Solar Inverter,1,Solar Monitoring,Y04S,H04Q,Y02E
pat57,Solar Mounting/Rack;,11,Solar Mounting/Rack,Y02E,H01L,F24J
pat415,Solar Inverter,5,Solar Inverter,H02J,Y02E,H02M
pat150,Solar Inverter,14,Solar Inverter,H02M,Y02E,H02J
pat697,Solar Mounting/Rack,7,Solar Mounting/Rack,Y02E,H01L,Y02B
pat305,Solar Monitoring,4,Solar Monitoring,H02J,Y02E,Y02B
pat409,Solar Inverter,6,Solar Mounting/Rack,H01L,Y02B,Y02E
pat80,Solar Mounting/Rack,1,Solar Monitoring,Y04S,H04Q,Y02E
pat244,Solar Inverter; Solar Monitoring,5,Solar Inverter,H02J,Y02E,H02M
pat548,Solar Monitoring,0,Solar Inverter,H02J,Y02E,Y02B
pat583,Solar Mounting/ Rack,2,Solar Mounting/Rack,H01L,Y02E,F24J
pat640,Solar Mounting/Rack,13,Solar Mounting/Rack,F24J,Y02E,H01L
pat810,Solar Mounting/Rack,10,Solar Mounting/Rack,Y02E,H01L,Y02B
pat701,Solar Mounting/Rack,13,Solar Mounting/Rack,F24J,Y02E,H01L
pat805,Solar Mounting/Rack,7,Solar Mounting/Rack,Y02E,H01L,Y02B
pat714,Solar Mounting/Rack,11,Solar Mounting/Rack,Y02E,H01L,F24J
pat192,Solar Inverter;,5,Solar Inverter,H02J,Y02E,H02M
pat159,Solar Monitoring,1,Solar Monitoring,Y04S,H04Q,Y02E
pat655,Solar Mounting/Rack,13,Solar Mounting/Rack,F24J,Y02E,H01L
pat251,Solar Monitoring,4,Solar Monitoring,H02J,Y02E,Y02B
pat310,Site Assessment,12,Site Assessment,H01L,Y02E,G01R
pat577,Solar Monitoring; Solar Inverter,5,Solar Inverter,H02J,Y02E,H02M
pat436,Solar Inverter,9,Solar Mounting/Rack,H01L,Y02E,F24J
pat74,Solar Mounting/Rack,3,Solar Mounting/Rack,NO_CPC,NO_CPC,NO_CPC
pat173,Solar Monitoring,2,Solar Mounting/Rack,H01L,Y02E,F24J
pat166,Solar Mounting/Rack,2,Solar Mounting/Rack,H01L,Y02E,F24J
pat61,Solar Inverter; Solar Monitoring,1,Solar Monitoring,Y04S,H04Q,Y02E
pat423,Solar Inverter,8,Solar Inverter,Y02E,H01L,H02J
pat562,Solar Monitoring,8,Solar Inverter,Y02E,H01L,H02J
pat172,Solar Inverter,4,Solar Monitoring,H02J,Y02E,Y02B
pat576,Solar Monitoring; Solar inverter,0,Solar Inverter,H02J,Y02E,Y02B
pat437,Solar Inverter,0,Solar Inverter,H02J,Y02E,Y02B
pat75,Solar Monitoring,1,Solar Monitoring,Y04S,H04Q,Y02E
pat60,Solar Inverter,0,Solar Inverter,H02J,Y02E,Y02B
pat422,Solar Inverter,14,Solar Inverter,H02M,Y02E,H02J
pat563,Solar Monitoring,4,Solar Monitoring,H02J,Y02E,Y02B
pat167,Solar Inverter; Solar Monitoring,14,Solar Inverter,H02M,Y02E,H02J
pat641,Solar Mounting/Rack,10,Solar Mounting/Rack,Y02E,H01L,Y02B
pat186,Solar Inverter;,11,Solar Mounting/Rack,Y02E,H01L,F24J
pat811,Solar Mounting/Rack,13,Solar Mounting/Rack,F24J,Y02E,H01L
pat408,Solar Inverter,6,Solar Mounting/Rack,H01L,Y02B,Y02E
pat81,Solar Mounting/Rack,13,Solar Mounting/Rack,F24J,Y02E,H01L
pat549,Solar Monitoring,1,Solar Monitoring,Y04S,H04Q,Y02E
pat582,Solar Monitoring; Solar Inverter;,4,Solar Monitoring,H02J,Y02E,Y02B
pat245,Solar Inverter,5,Solar Inverter,H02J,Y02E,H02M
pat597,Solar Mounting/Rack,13,Solar Mounting/Rack,F24J,Y02E,H01L
pat250,Solar Inverter,8,Solar Inverter,Y02E,H01L,H02J
pat311,Solar Inverter,3,Solar Mounting/Rack,NO_CPC,NO_CPC,NO_CPC
pat715,Solar Mounting/Rack,13,Solar Mounting/Rack,F24J,Y02E,H01L
pat804,Solar Mounting/Rack,13,Solar Mounting/Rack,F24J,Y02E,H01L
pat654,Solar Mounting/Rack,13,Solar Mounting/Rack,F24J,Y02E,H01L
pat193,Solar Inverter,4,Solar Monitoring,H02J,Y02E,Y02B
pat158,Solar Monitoring,1,Solar Monitoring,Y04S,H04Q,Y02E
pat88,Solar Inverter,8,Solar Inverter,Y02E,H01L,H02J
pat401,Solar Inverter,0,Solar Inverter,H02J,Y02E,Y02B
pat43,Solar Inverter,5,Solar Inverter,H02J,Y02E,H02M
pat540,Solar Monitoring,1,Solar Monitoring,Y04S,H04Q,Y02E
pat648,Solar Mounting/Rack,13,Solar Mounting/Rack,F24J,Y02E,H01L
pat683,Solar Mounting/Rack,2,Solar Mounting/Rack,H01L,Y02E,F24J
pat144,Solar Monitoring,4,Solar Monitoring,H02J,Y02E,Y02B
pat709,Solar Mounting/Rack,11,Solar Mounting/Rack,Y02E,H01L,F24J
pat818,Solar Mounting/Rack,7,Solar Mounting/Rack,Y02E,H01L,Y02B
pat696,Solar Mounting/Rack,10,Solar Mounting/Rack,Y02E,H01L,Y02B
pat151,Solar Inverter,14,Solar Inverter,H02M,Y02E,H02J
pat555,Solar Monitoring,1,Solar Monitoring,Y04S,H04Q,Y02E
pat292,Solar Mounting/Rack,3,Solar Mounting/Rack,NO_CPC,NO_CPC,NO_CPC
pat259,Solar Inverter,5,Solar Inverter,H02J,Y02E,H02M
pat56,Solar Mounting/Rack,10,Solar Mounting/Rack,Y02E,H01L,Y02B
pat414,Solar Inverter,5,Solar Inverter,H02J,Y02E,H02M
pat318,Solar Mounting/Rack,0,Solar Inverter,H02J,Y02E,Y02B
pat273,Solar Monitoring,1,Solar Monitoring,Y04S,H04Q,Y02E
pat332,Site Assessment,1,Solar Monitoring,Y04S,H04Q,Y02E
pat827,Solar Mounting/Rack,13,Solar Mounting/Rack,F24J,Y02E,H01L
pat736,Solar Mounting/Rack,13,Solar Mounting/Rack,F24J,Y02E,H01L
pat677,Solar Mounting/Rack,13,Solar Mounting/Rack,F24J,Y02E,H01L
pat662,Solar Mounting/Rack,13,Solar Mounting/Rack,F24J,Y02E,H01L
pat832,Solar Mounting/Rack;,11,Solar Mounting/Rack,Y02E,H01L,F24J
pat723,Solar Mounting/Rack,10,Solar Mounting/Rack,Y02E,H01L,Y02B
pat327,Site Assessment,12,Site Assessment,H01L,Y02E,G01R
pat69,Solar Inverter,4,Solar Monitoring,H02J,Y02E,Y02B
pat266,Solar Inverter; Solar Mounting/Rack,2,Solar Mounting/Rack,H01L,Y02E,F24J
pat746,Solar Mounting/Rack,13,Solar Mounting/Rack,F24J,Y02E,H01L
pat607,Solar Mounting/Rack,13,Solar Mounting/Rack,F24J,Y02E,H01L
pat203,Solar Monitoring,8,Solar Inverter,Y02E,H01L,H02J
pat342,Solar Inverter,11,Solar Mounting/Rack,Y02E,H01L,F24J
pat389,Solar Inverter,7,Solar Mounting/Rack,Y02E,H01L,Y02B
pat485,Solar Inverter; Solar Monitoring,4,Solar Monitoring,H02J,Y02E,Y02B
pat357,Solar Inverter,5,Solar Inverter,H02J,Y02E,H02M
pat19,Solar Mounting/Rack,5,Solar Inverter,H02J,Y02E,H02M
pat490,Solar Inverter; Solar Monitoring,2,Solar Mounting/Rack,H01L,Y02E,F24J
