PatId	Patnum	Year	OrigTechArea	city	state	state	country	topicId	ourTechArea
pat0201	8094475	2012	Solar Inverter	Niestetal	N/A	N/A	Germany	0	Solar Inverter
pat0803	13/423660	2012	Solar Mounting/Rack	Valley Forge  PA	PA	PA	USA	4	Solar Mounting/Rack
pat0783	13/361 289	2012	Solar Monitoring	Freising	N/A	N/A	Germany	11	Solar Inverter
pat0624	12/993 003	2011	Solar Mounting/Rack	Nunawading	N/A	N/A	Australia	14	Solar Mounting/Rack
pat0340	11/560 186	2008	Solar Inverter	Redding  CT	CT	CT	USA	6	Solar Inverter
pat0514	12/730 012	2010	Solar Monitoring	San Diego  CA	CA	CA	USA	5	Solar Monitoring
pat0105	7817419	2010	Solar Inverter	Wagen	N/A	N/A	Germany	13	Solar Mounting/Rack
pat0234	8174856	2012	Solar Monitoring	Austin  TX	TX	TX	USA	6	Solar Inverter
pat0620	12/974 469	2012	Solar Inverter	Schenectady  NY	NY	NY	USA	6	Solar Inverter
pat0345	11/664 741	2009	Solar Inverter	Hamburg	N/A	N/A	Germany	0	Solar Inverter
pat0513	12/729 304	2011	Solar Inverter	Cleveland  OH	OH	OH	USA	6	Solar Inverter
pat0048	7498953	2009	Solar Monitoring	Ocala  FL	FL	FL	USA	5	Solar Monitoring
pat0184	8035257	2011	Solar Inverter	Petaluma  CA	CA	CA	USA	6	Solar Inverter
pat0813	13/437 357	2012	Solar Inverter	Seoul	N/A	N/A	South Korea	6	Solar Inverter
pat0200	8093757	2012	Solar Inverter	Los Gatos  CA	CA	CA	USA	0	Solar Inverter
pat0025	7324361	2008	Solar Inverter	Torrance  CA	CA	CA	USA	0	Solar Inverter
pat0489	12/619 322	2010	Solar Monitoring	Albuquerque  NM	NM	NM	USA	12	Solar Mounting/Rack
pat0322	10/835 737	2005	Solar Mounting/Rack	Pleasanton  CA	CA	CA	USA	2	Solar Mounting/Rack
pat0377	12/102 557	2009	Solar Mounting/Rack	Troutman  NC	NC	NC	USA	2	Solar Mounting/Rack
pat0650	13/047 005	2012	Solar Inverter	San Jose  CA	CA	CA	USA	11	Solar Inverter
pat0329	11/243 522	2007	Solar Mounting/Rack	San Jose  CA	CA	CA	USA	13	Solar Mounting/Rack
pat0258	8212409	2012	Solar Inverter	Niestetal	N/A	N/A	Germany	10	Solar Inverter
pat0388	12/158 419	2008	Solar Mounting/Rack	Muchamiel	N/A	N/A	Spain	13	Solar Mounting/Rack
pat0738	13/237 980	2012	Solar Inverter	New Taipei City	N/A	N/A	Taiwan	0	Solar Inverter
pat0176	8018748	2011	Solar Inverter	Niskayuna  NY	NY	NY	USA	7	Solar Inverter
pat0728	13/214 308	2012	Solar Mounting/Rack	FUKUOKA	N/A	N/A	Japan	2	Solar Mounting/Rack
pat0522	12/757 686	2010	Solar Mounting/Rack	Bensheim	N/A	N/A	Germany	7	Solar Inverter
pat0023	7307209	2007	Solar Mounting/Rack	Perrysburg  OH	OH	OH	USA	14	Solar Mounting/Rack
pat0101	7812247	2010	Solar Mounting/Rack	Littleton  CO	CO	CO	USA	7	Solar Inverter
pat0016	7227278	2007	Solar Inverter	Hauppauge  NY	NY	NY	USA	6	Solar Inverter
pat0646	13/043 286	2011	Solar Monitoring	Richmond  CA	CA	CA	USA	8	Solar Inverter
pat0218	8136783	2012	Solar Mounting/Rack	Mainz	N/A	N/A	Germany	2	Solar Mounting/Rack
pat0052	7519503	2009	Solar Monitoring	Bergen	N/A	N/A	Norway	5	Solar Monitoring
pat0121	7847436	2010	Solar Monitoring	Milpitas  CA	CA	CA	USA	6	Solar Inverter
pat0784	13/361313	2012	Solar Inverter	Boston  MA	MA	MA	USA	7	Solar Inverter
pat0008	6966184	2005	Solar Inverter	Tokyo	N/A	N/A	Japan	13	Solar Mounting/Rack
pat0795	13/401 602	2012	Solar Monitoring	Bergen	N/A	N/A	Norway	5	Solar Monitoring
pat0268	8228022	2012	Solar Monitoring	Tu-Cheng	N/A	N/A	Taiwan	3	Solar Monitoring
pat0316	8338987	2012	Solar Monitoring	Niskayuna  NY	NY	NY	USA	6	Solar Inverter
pat0168	7987641	2011	Solar Mounting/Rack	Saratoga  CA	CA	CA	USA	12	Solar Mounting/Rack
pat0537	12/793 510	2010	Solar Mounting/Rack	San Jose  CA	CA	CA	USA	12	Solar Mounting/Rack
pat0275	8243446	2012	Solar Inverter	Perrysburg  OH	OH	OH	USA	6	Solar Inverter
pat0482	12/601 240	2010	Solar Mounting/Rack	San Jose  CA	CA	CA	USA	2	Solar Mounting/Rack
pat0612	12/959 139	2011	Solar Mounting/Rack	Brick  NJ	NJ	NJ	USA	14	Solar Mounting/Rack
pat0230	8165813	2012	Site Assessment	Napa  CA	CA	CA	USA	1	Site Assessment
pat0397	12/229 622	2009	Solar Monitoring	Petaluma  CA	CA	CA	USA	12	Solar Mounting/Rack
pat0531	12/784 392	2010	Solar Mounting/Rack	San Jose  CA	CA	CA	USA	4	Solar Mounting/Rack
pat0472	12/575 293	2010	Solar Monitoring	Portland  OR	OR	OR	USA	7	Solar Inverter
pat0655	13/061 266	2011	Solar Mounting/Rack	Michigan Center  MI	MI	MI	USA	13	Solar Mounting/Rack
pat0410	12/322 390	2010	Solar Inverter	Huntington Beach  CA	CA	CA	USA	6	Solar Inverter
pat0006	6956500	2005	Solar Monitoring	Ormond Beach  FL	FL	FL	USA	5	Solar Monitoring
pat0630	13/011 185	2011	Solar Mounting/Rack	Perrysburg  OH	OH	OH	USA	2	Solar Mounting/Rack
pat0822	13/462 359	2012	Solar Mounting/Rack	Hod Hasharon	N/A	N/A	Israel	9	Solar Mounting/Rack
pat0828	13/472 971	2012	Solar Monitoring	Pittsford  NY	NY	NY	USA	5	Solar Monitoring
pat0306	8314375	2012	Solar Monitoring	Los Gatos  CA	CA	CA	USA	11	Solar Inverter
pat0475	12/587 111	2010	Solar Mounting/Rack	Tucson  AZ	AZ	AZ	USA	13	Solar Mounting/Rack
pat0780	13/348 214	2012	Solar Inverter	Hod Hasharon	N/A	N/A	Israel	6	Solar Inverter
pat0714	13/184 281	2012	Solar Mounting/Rack	Berwyn  PA	PA	PA	USA	9	Solar Mounting/Rack
pat0804	13/424 483	2012	Solar Inverter	Osaka	N/A	N/A	Japan	7	Solar Inverter
pat0185	8035369	2011	Solar Inverter	Niestetal	N/A	N/A	Germany	0	Solar Inverter
