PatId	Patnum	Year	OrigTechArea	city	state	state	country	topicId	ourTechArea
pat0646	num-13/043 286	yr-2011	Solar Monitoring	Richmond  CA	CA	CA	USA	topic-8	Solar Inverter
pat0218	num-8136783	yr-2012	Solar Mounting/Rack	Mainz	N/A	N/A	Germany	topic-2	Solar Mounting/Rack
pat0052	num-7519503	yr-2009	Solar Monitoring	Bergen	N/A	N/A	Norway	topic-5	Solar Monitoring
pat0121	num-7847436	yr-2010	Solar Monitoring	Milpitas  CA	CA	CA	USA	topic-6	Solar Inverter
pat0784	num-13/361313	yr-2012	Solar Inverter	Boston  MA	MA	MA	USA	topic-7	Solar Inverter
pat0008	num-6966184	yr-2005	Solar Inverter	Tokyo	N/A	N/A	Japan	topic-13	Solar Mounting/Rack
pat0795	num-13/401 602	yr-2012	Solar Monitoring	Bergen	N/A	N/A	Norway	topic-5	Solar Monitoring
pat0268	num-8228022	yr-2012	Solar Monitoring	Tu-Cheng	N/A	N/A	Taiwan	topic-3	Solar Monitoring
pat0316	num-8338987	yr-2012	Solar Monitoring	Niskayuna  NY	NY	NY	USA	topic-6	Solar Inverter
pat0168	num-7987641	yr-2011	Solar Mounting/Rack	Saratoga  CA	CA	CA	USA	topic-12	Solar Mounting/Rack
pat0537	num-12/793 510	yr-2010	Solar Mounting/Rack	San Jose  CA	CA	CA	USA	topic-12	Solar Mounting/Rack
pat0275	num-8243446	yr-2012	Solar Inverter	Perrysburg  OH	OH	OH	USA	topic-6	Solar Inverter
pat0482	num-12/601 240	yr-2010	Solar Mounting/Rack	San Jose  CA	CA	CA	USA	topic-2	Solar Mounting/Rack
pat0612	num-12/959 139	yr-2011	Solar Mounting/Rack	Brick  NJ	NJ	NJ	USA	topic-14	Solar Mounting/Rack
pat0230	num-8165813	yr-2012	Site Assessment	Napa  CA	CA	CA	USA	topic-1	Site Assessment
pat0397	num-12/229 622	yr-2009	Solar Monitoring	Petaluma  CA	CA	CA	USA	topic-12	Solar Mounting/Rack
pat0531	num-12/784 392	yr-2010	Solar Mounting/Rack	San Jose  CA	CA	CA	USA	topic-4	Solar Mounting/Rack
pat0472	num-12/575 293	yr-2010	Solar Monitoring	Portland  OR	OR	OR	USA	topic-7	Solar Inverter
pat0655	num-13/061 266	yr-2011	Solar Mounting/Rack	Michigan Center  MI	MI	MI	USA	topic-13	Solar Mounting/Rack
pat0410	num-12/322 390	yr-2010	Solar Inverter	Huntington Beach  CA	CA	CA	USA	topic-6	Solar Inverter
pat0006	num-6956500	yr-2005	Solar Monitoring	Ormond Beach  FL	FL	FL	USA	topic-5	Solar Monitoring
pat0630	num-13/011 185	yr-2011	Solar Mounting/Rack	Perrysburg  OH	OH	OH	USA	topic-2	Solar Mounting/Rack
pat0822	num-13/462 359	yr-2012	Solar Mounting/Rack	Hod Hasharon	N/A	N/A	Israel	topic-9	Solar Mounting/Rack
pat0828	num-13/472 971	yr-2012	Solar Monitoring	Pittsford  NY	NY	NY	USA	topic-5	Solar Monitoring
pat0306	num-8314375	yr-2012	Solar Monitoring	Los Gatos  CA	CA	CA	USA	topic-11	Solar Inverter
pat0475	num-12/587 111	yr-2010	Solar Mounting/Rack	Tucson  AZ	AZ	AZ	USA	topic-13	Solar Mounting/Rack
pat0780	num-13/348 214	yr-2012	Solar Inverter	Hod Hasharon	N/A	N/A	Israel	topic-6	Solar Inverter
pat0714	num-13/184 281	yr-2012	Solar Mounting/Rack	Berwyn  PA	PA	PA	USA	topic-9	Solar Mounting/Rack
pat0804	num-13/424 483	yr-2012	Solar Inverter	Osaka	N/A	N/A	Japan	topic-7	Solar Inverter
pat0185	num-8035369	yr-2011	Solar Inverter	Niestetal	N/A	N/A	Germany	topic-0	Solar Inverter
pat0483	num-12/601 493	yr-2010	Solar Inverter	Changwon	N/A	N/A	Taiwan	topic-0	Solar Inverter
pat0653	num-13/053 784	yr-2012	Solar Monitoring	San Jose  CA	CA	CA	USA	topic-11	Solar Inverter
pat0426	num-12/384 501	yr-2010	Solar Monitoring	Minneapolis  MN	MN	MN	USA	topic-3	Solar Monitoring
pat0810	num-13/427 347	yr-2012	Solar Mounting/Rack	Sydney	N/A	N/A	Australia	topic-13	Solar Mounting/Rack
pat0732	num-13/227 652	yr-2012	Solar Mounting/Rack	Freemont  CA	CA	CA	USA	topic-5	Solar Monitoring
pat0561	num-12/856 844	yr-2011	Solar Mounting/Rack	Colorado Springs  CO	CO	CO	USA	topic-14	Solar Mounting/Rack
pat0508	num-12/719 662	yr-2010	Solar Inverter	Niestetal	N/A	N/A	Germany	topic-7	Solar Inverter
pat0197	num-8083540	yr-2011	Solar Mounting/Rack	Berwyn  PA	PA	PA	USA	topic-9	Solar Mounting/Rack
pat0229	num-8165811	yr-2012	Site Assessment	Napa  CA	CA	CA	USA	topic-1	Site Assessment
pat0757	num-13/285 942	yr-2012	Solar Mounting/Rack	Golden  CO	CO	CO	USA	topic-4	Solar Mounting/Rack
pat0161	num-7962249	yr-2011	Solar Monitoring	Santa Clara  CA	CA	CA	USA	topic-3	Solar Monitoring
pat0177	num-8019117	yr-2011	Site Assessment	Tokyo	N/A	N/A	Japan	topic-1	Site Assessment
pat0013	num-7158395	yr-2007	Solar Inverter	Dearborn  MI	MI	MI	USA	topic-11	Solar Inverter
pat0796	num-13/402 769	yr-2012	Solar Mounting/Rack	San Jose  CA	CA	CA	USA	topic-12	Solar Mounting/Rack
pat0224	num-8148832	yr-2012	Solar Monitoring	Waterford  MI	MI	MI	USA	topic-3	Solar Monitoring
pat0611	num-12/959 100	yr-2011	Solar Mounting/Rack	Brick  NJ	NJ	NJ	USA	topic-14	Solar Mounting/Rack
pat0496	num-12/658 510	yr-2011	Solar Mounting/Rack	Sarasota  FL	FL	FL	USA	topic-14	Solar Mounting/Rack
