PatId	Year	OrigTechArea	city	state	state	country	topicId	ourTechArea	ourCPCnum1	ourCPCnum2	ourCPCnum3
pat0010	2006	Solar Inverter	Tokyo			Japan	8	Solar Inverter	Y02E	H02J	G01R
pat0709	2009	Solar Mounting/Rack	Dana Point  CA	USA	USA	USA	10	Solar Mounting/Rack	F24J	Y02E	H01L
pat0005	2005	Solar Inverter	Columbia  MD	MD	MD	USA	3	Solar Mounting/Rack	H01L	Y02E	F24J
pat0648	2012	Solar Mounting/Rack	San Rafael  CA	CA	CA	USA	10	Solar Mounting/Rack	F24J	Y02E	H01L
pat0683	2012	Solar Mounting/Rack	Perrysburg  OH	OH	OH	USA	10	Solar Mounting/Rack	F24J	Y02E	H01L
pat0144	2011	Solar Inverter	Bend  OR	OR	OR	USA	4	Solar Monitoring	H02J	Y02B	Y02E
pat0540	2012	Solar Monitoring	Freemont  CA	CA	CA	USA	8	Solar Inverter	Y02E	H02J	G01R
pat0401	2012	Solar Inverter	Seoul			South Korea	4	Solar Monitoring	H02J	Y02B	Y02E
pat0121	2010	Solar Monitoring	Milpitas  CA	CA	CA	USA	4	Solar Monitoring	H02J	Y02B	Y02E
pat0060	2009	Solar Inverter	Fort Collins  CO	CO	CO	USA	2	Solar Inverter	H02J	Y02E	H02M
pat0464	2011	Solar Inverter	Metzingen			Germany	4	Solar Monitoring	H02J	Y02B	Y02E
pat0525	2012	Solar Monitoring	Austin  TX	TX	TX	USA	14	Solar Inverter	H02M	Y02E	Y02B
pat0229	2012	Site Assessment	Napa  CA	CA	CA	USA	11	Solar Monitoring	H04Q	Y04S	G01D
pat0530	2008	Solar Monitoring	Phoenix  AZ	AZ	AZ	USA	8	Solar Inverter	Y02E	H02J	G01R
pat0471	2006	Solar Inverter	Changwon			Taiwan	2	Solar Inverter	H02J	Y02E	H02M
pat0134	2011	Solar Inverter	Sunnyvale  CA	CA	CA	USA	0	Solar Inverter	Y02E	H02J	H02M
pat0094	2010	Solar Monitoring	Stafford  TX	TX	TX	USA	4	Solar Monitoring	H02J	Y02B	Y02E
pat0612	2008	Solar Mounting/Rack	Hampton  VA	VA	VA	USA	10	Solar Mounting/Rack	F24J	Y02E	H01L
pat0357	2011	Solar Inverter	Pontedera			Italy	0	Solar Inverter	Y02E	H02J	H02M
pat0490	2011	Solar Inverter- Solar Monitoring	Hod Hasharon			Israel	14	Solar Inverter	H02M	Y02E	Y02B
pat0342	2012	Solar Inverter	Dresden			Germany	14	Solar Inverter	H02M	Y02E	Y02B
pat0389	2010	Solar Inverter	Hsinchu			Taiwan	12	Solar Inverter	Y02E	H02J	H02M
pat0485	2010	Solar Inverter- Solar Monitoring	Milpitas  CA	CA	CA	USA	12	Solar Inverter	Y02E	H02J	H02M
pat0203	2012	Solar Mounting/Rack	Mascoutah  IL	IL	IL	USA	10	Solar Mounting/Rack	F24J	Y02E	H01L
pat0607	2009	Solar Mounting/Rack	Alameda  CA	CA	CA	USA	1	Solar Mounting/Rack	H01L	Y02E	F24J
pat0081	2010	Solar Mounting/Rack	Cold Spring  NY	NY	NY	USA	6	Solar Monitoring	G01R	Y04S	Y02B
pat0513	2009	Solar Monitoring	Kelkheim  DE			DE	11	Solar Monitoring	H04Q	Y04S	G01D
pat0395	2010	Solar Inverter	Ludenscheid			Germany	12	Solar Inverter	Y02E	H02J	H02M
pat0499	2012	Solar Monitoring	Richmond  CA	CA	CA	USA	9	Solar Mounting/Rack	Y02E	H01L	F24J
pat0452	2011	Solar Inverter	Livermore  CA	CA	CA	USA	0	Solar Inverter	Y02E	H02J	H02M
pat0102	2010	Solar Monitoring	Niestetal			Germany	8	Solar Inverter	Y02E	H02J	G01R
pat0043	2008	Solar Inverter	Niestetal			Germany	4	Solar Monitoring	H02J	Y02B	Y02E
pat0088	2010	Solar Inverter	Petaluma  CA	CA	CA	USA	2	Solar Inverter	H02J	Y02E	H02M
pat0380	2009	Solar Inverter	Roanoke  VA	VA	VA	USA	14	Solar Inverter	H02M	Y02E	Y02B
pat0447	2010	Solar Inverter	Boulder  CO	CO	CO	USA	8	Solar Inverter	Y02E	H02J	G01R
