pid, patent #, tech area, city, state, country, url, status, cpc_class
pat685,0,Solar Mounting/Rack,Publicly Traded,Solar electronics and power management; inverter manufacturer,USA,http://appft1.uspto.gov/netacgi/nph-Parser?Sect1=PTO2&Sect2=HITOFF&u=%2Fnetahtml%2FPTO%2Fsearch-adv.html&r=133&f=G&l=50&d=PG01&s1=mounting.CLM.&s2=photovoltaic.CLM.&co1=AND&p=3&OS=ACLM/mounting+AND+ACLM/photovoltaic&RS=ACLM/mounting+AND+ACLM/photovoltaic,valid,H02K 11/0073 20130101; H02K 25/00 20130101; H02K 29/03 20130101; H02K 29/06 20130101
pat686,0,Solar Mounting/Rack,Schenectady NY,NY,USA,http://appft1.uspto.gov/netacgi/nph-Parser?Sect1=PTO1&Sect2=HITOFF&d=PG01&p=1&u=%2Fnetahtml%2FPTO%2Fsrchnum.html&r=1&f=G&l=50&s1=%2220110100433%22.PGNR.&OS=DN/20110100433&RS=DN/20110100433,valid,F24J 2/5232 20130101; F24J 2/5258 20130101; H01L 31/042 20130101; H01L 31/0482 20130101; Y02E 10/40 20130101; Y02E 10/50 20130101; Y02E 60/12 20130101
pat687,0,Solar Mounting/Rack,Tucson AZ,AZ,USA,http://appft1.uspto.gov/netacgi/nph-Parser?Sect1=PTO1&Sect2=HITOFF&d=PG01&p=1&u=%2Fnetahtml%2FPTO%2Fsrchnum.html&r=1&f=G&l=50&s1=%2220100147356%22.PGNR.&OS=DN/20100147356&RS=DN/20100147356,valid,H01L 27/1423 20130101; H01L 31/02008 20130101; H01L 31/022425 20130101; H01L 31/03928 20130101; Y02E 10/50 20130101; Y02E 10/541 20130101
pat688,0,Solar Mounting/Rack,Mountain View CA,CA,USA,http://appft1.uspto.gov/netacgi/nph-Parser?Sect1=PTO1&Sect2=HITOFF&d=PG01&p=1&u=%2Fnetahtml%2FPTO%2Fsrchnum.html&r=1&f=G&l=50&s1=%2220120211000%22.PGNR.&OS=DN/20120211000&RS=DN/20120211000,no CPC,
pat689,0,Solar Mounting/Rack,Westford MA,MA,USA,http://appft1.uspto.gov/netacgi/nph-Parser?Sect1=PTO1&Sect2=HITOFF&d=PG01&p=1&u=%2Fnetahtml%2FPTO%2Fsrchnum.html&r=1&f=G&l=50&s1=%2220100154784%22.PGNR.&OS=DN/20100154784&RS=DN/20100154784,valid,F24J 2/464 20130101; F24J 2/5211 20130101; F24J 2/5247 20130101; F24J 2002/4661 20130101; F24J 2002/5281 20130101; H01L 31/0422 20130101; Y02B 10/20 20130101; Y02E 10/47 20130101; Y02E 10/50 20130101
pat690,0,Solar Mounting/Rack,Freemont CA,CA,USA,http://appft1.uspto.gov/netacgi/nph-Parser?Sect1=PTO2&Sect2=HITOFF&p=1&u=%2Fnetahtml%2FPTO%2Fsearch-bool.html&r=15&f=G&l=50&co1=AND&d=PG01&s1=inverter.CLM.&s2=photovoltaic.CLM.&OS=ACLM/inverter+AND+ACLM/photovoltaic&RS=ACLM/inverter+AND+ACLM/photovoltaic,no CPC,
pat691,0,Solar Mounting/Rack,Freemont CA,CA,USA,http://appft.uspto.gov/netacgi/nph-Parser?Sect1=PTO2&Sect2=HITOFF&p=2&u=%2Fnetahtml%2FPTO%2Fsearch-bool.html&r=54&f=G&l=50&co1=AND&d=PG01&s1=inverter.CLM.&s2=photovoltaic.CLM.&OS=ACLM/inverter+AND+ACLM/photovoltaic&RS=ACLM/inverter+AND+ACLM/photovoltaic,no CPC,
pat692,0,Solar Mounting/Rack,Singapore,,Singapore,http://appft.uspto.gov/netacgi/nph-Parser?Sect1=PTO1&Sect2=HITOFF&d=PG01&p=1&u=%2Fnetahtml%2FPTO%2Fsrchnum.html&r=1&f=G&l=50&s1=%2220110138711%22.PGNR.&OS=DN/20110138711&RS=DN/20110138711,valid,F24J 2/5207 20130101; F24J 2/5209 20130101; F24J 2002/0038 20130101; H01L 31/0424 20130101; H01L 31/0482 20130101; Y02B 10/12 20130101; Y02B 10/20 20130101; Y02E 10/40 20130101
pat693,0,Solar Mounting/Rack,Schwedt,,Germany,http://appft.uspto.gov/netacgi/nph-Parser?Sect1=PTO1&Sect2=HITOFF&d=PG01&p=1&u=%2Fnetahtml%2FPTO%2Fsrchnum.html&r=1&f=G&l=50&s1=%2220090166494%22.PGNR.&OS=DN/20090166494&RS=DN/20090166494,valid,F24J 2/5207 20130101; F24J 2/5247 20130101; F24J 2/5258 20130101; F24J 2/526 20130101; F24J 2002/4661 20130101; F24J 2002/4665 20130101; F24J 2002/467 20130101; F24J 2002/5215 20130101; H01L 31/0422 20130101; Y02B 10/12 20130101; Y02B 10/20 20130101; Y02E 10/47 20130101; Y02E 10/50 20130101
pat694,0,Solar Mounting/Rack,Schwedt,,Germany,http://appft.uspto.gov/netacgi/nph-Parser?Sect1=PTO1&Sect2=HITOFF&d=PG01&p=1&u=%2Fnetahtml%2FPTO%2Fsrchnum.html&r=1&f=G&l=50&s1=%2220100127142%22.PGNR.&OS=DN/20100127142&RS=DN/20100127142,valid,F24J 2/5232 20130101; F24J 2/5264 20130101; F24J 2002/5215 20130101; F24J 2002/529 20130101; F24J 2002/5486 20130101; F24J 2002/5489 20130101; Y02E 10/47 20130101
