pid, patent #, year,  tech area, title, city, state, country, url, status, cpc_class,cpc1,cpc2,cpc3
pat0528,12/776 185,2011,Solar Mounting/Rack,PHOTOVOLTAIC SOLAR COLLECTION AND TRACKING SYSTEM,San Jose  CA,CA,USA,http://appft1.uspto.gov/netacgi/nph-Parser?Sect1=PTO1&Sect2=HITOFF&d=PG01&p=1&u=%2Fnetahtml%2FPTO%2Fsrchnum.html&r=1&f=G&l=50&s1=%2220110114153%22.PGNR.&OS=DN/20110114153&RS=DN/20110114153,valid,F24J 2/523 20130101; F24J 2/5233 20130101; F24J 2/525 20130101; F24J 2/5413 20130101; H01L 31/0422 20130101; Y02E 10/47 20130101; Y02E 10/50 20130101,F24J,Y02E,H01L
pat0529,12/777 224,2010,Site Assessment,IRRADIANCE MAPPING LEVERAGING A DISTRIBUTED NETWORK OF SOLAR PHOTOVOLTAIC SYSTEMS ,New York  NY,NY,USA,http://appft1.uspto.gov/netacgi/nph-Parser?Sect1=PTO1&Sect2=HITOFF&d=PG01&p=1&u=%2Fnetahtml%2FPTO%2Fsrchnum.html&r=1&f=G&l=50&s1=%2220100318297%22.PGNR.&OS=DN/20100318297&RS=DN/20100318297,valid,H02J 3/383 20130101; H02J 13/0062 20130101; Y02E 40/72 20130101; Y04S 10/123 20130101; Y04S 40/124 20130101,Y04S,H02J,Y04S
pat0530,12/784 360,2010,Solar Mounting/Rack,CENTER TAPPED RECEIVER,Mountain View  CA,CA,USA,http://appft.uspto.gov/netacgi/nph-Parser?Sect1=PTO1&Sect2=HITOFF&d=PG01&p=1&u=%2Fnetahtml%2FPTO%2Fsrchnum.html&r=1&f=G&l=50&s1=%2220100294336%22.PGNR.&OS=DN/20100294336&RS=DN/20100294336,valid,H01L 31/0232 20130101; H01L 31/0522 20130101; Y02E 10/52 20130101,H01L,Y02E,
pat0531,12/784 392,2010,Solar Mounting/Rack,HOLE-THRU-LAMINATE MOUNTING SUPPORTS FOR PHOTOVOLTAIC MODULES,San Jose  CA,CA,USA,http://appft.uspto.gov/netacgi/nph-Parser?Sect1=PTO1&Sect2=HITOFF&d=PG01&p=1&u=%2Fnetahtml%2FPTO%2Fsrchnum.html&r=1&f=G&l=50&s1=%2220100294343%22.PGNR.&OS=DN/20100294343&RS=DN/20100294343,valid,F24J 2/5237 20130101; H01L 31/0422 20130101; Y02E 10/47 20130101; Y02E 10/50 20130101,Y02E,F24J,H01L
pat0532,12/785 773,2010,Solar Mounting/Rack,ELECTRICALLY ISOLATED HEAT DISSIPATING JUNCTION BOX,Hod Hasharon,N/A,Israel,http://appft.uspto.gov/netacgi/nph-Parser?Sect1=PTO1&Sect2=HITOFF&d=PG01&p=1&u=%2Fnetahtml%2FPTO%2Fsrchnum.html&r=1&f=G&l=50&s1=%2220100294528%22.PGNR.&OS=DN/20100294528&RS=DN/20100294528,valid,G08B 13/1409 20130101; H01L 31/0485 20130101; H01L 31/0486 20130101; Y02E 10/50 20130101,H01L,Y02E,G08B
pat0533,12/786 894,2010,Solar Mounting/Rack,Bracket for Connection of a Junction Box to Photovoltaic Panels,Hod Hasharon,N/A,Israel,http://appft.uspto.gov/netacgi/nph-Parser?Sect1=PTO1&Sect2=HITOFF&d=PG01&p=1&u=%2Fnetahtml%2FPTO%2Fsrchnum.html&r=1&f=G&l=50&s1=%2220100294903%22.PGNR.&OS=DN/20100294903&RS=DN/20100294903,valid,H01L 31/0485 20130101; Y02E 10/50 20130101,Y02E,H01L,
pat0534,12/788 066,2010,Solar Monitoring,THEFT DETECTION AND PREVENTION IN A POWER GENERATION SYSTEM,Hod Hasharon,N/A,Israel,http://appft1.uspto.gov/netacgi/nph-Parser?Sect1=PTO1&Sect2=HITOFF&d=PG01&p=1&u=%2Fnetahtml%2FPTO%2Fsrchnum.html&r=1&f=G&l=50&s1=%2220100301991%22.PGNR.&OS=DN/20100301991&RS=DN/20100301991,valid,G08B 13/1409 20130101,G08B,,
pat0535,12/788 441,2011,Solar Inverter,PHOTOVOLTAIC POWER SYSTEM,Ludenscheid,N/A,Germany,http://appft1.uspto.gov/netacgi/nph-Parser?Sect1=PTO1&Sect2=HITOFF&d=PG01&p=1&u=%2Fnetahtml%2FPTO%2Fsrchnum.html&r=1&f=G&l=50&s1=%2220110006609%22.PGNR.&OS=DN/20110006609&RS=DN/20110006609,no CPC,,,,
pat0536,12/791 580,2011,Solar Mounting/Rack, Methods and Devices for Assembling a Terrestrial Solar Tracking Photovoltaic Array ,Albuquerque  NM,NM,USA,http://appft1.uspto.gov/netacgi/nph-Parser?Sect1=PTO1&Sect2=HITOFF&d=PG01&p=1&u=%2Fnetahtml%2FPTO%2Fsrchnum.html&r=1&f=G&l=50&s1=%2220110289750%22.PGNR.&OS=DN/20110289750&RS=DN/20110289750,valid,F24J 2/08 20130101; F24J 2/5424 20130101; H01L 31/0422 20130101; Y02E 10/47 20130101; Y02E 10/50 20130101,Y02E,F24J,Y02E
pat0537,12/793 510,2010,Solar Mounting/Rack,Solar Panel Tracking and Mounting System,San Jose  CA,CA,USA,http://appft.uspto.gov/netacgi/nph-Parser?Sect1=PTO1&Sect2=HITOFF&d=PG01&p=1&u=%2Fnetahtml%2FPTO%2Fsrchnum.html&r=1&f=G&l=50&s1=%2220100307479%22.PGNR.&OS=DN/20100307479&RS=DN/20100307479,valid,H01L 31/0422 20130101; Y02E 10/50 20130101,Y02E,H01L,
