"PatId"	"Yeartxt"	"OrigTechArea"	"city"	"state"	"state"	"country"	"topicId"	"ourTechArea"	"origCPC1"	"origCPC2"	"origCPC3"	"ourCPCnum1"	"ourCPCnum2"	"ourCPCnum3"	"GeoCode"	"Year"	"TopicId-Id"	"count1"	"Patnum"
"pat0773"	"yr2012"	"Solar Mounting/Rack"	"Limerick  PA"	"PA"	"PA"	"USA"	4	"Solar Mounting/Rack"				"Y02B"	"H01L"	"Y02E"	"PA"	2012	"topic-04"	1	"num-13/326 094"
"pat0015"	"yr2007"	"Solar Monitoring"	"Tokyo"	"N/A"	"N/A"	"Japan"	3	"Solar Monitoring"	"G08B"			"H02J"	"Y02E"	"Y02B"	"jp"	2007	"topic-03"	1	"num-7187277"
"pat0826"	"yr2012"	"Solar Inverter"	"Seoul"	"N/A"	"N/A"	"South Korea"	13	"Solar Mounting/Rack"				"H01L"	"Y02E"	"F24J"	"asia"	2012	"topic-13"	1	"num-13/470888"
"pat0066"	"yr2010"	"Solar Mounting/Rack"	"Detmold"	"N/A"	"N/A"	"Germany"	9	"Solar Mounting/Rack"	"H01R"	"H01L"	"H01R"	"H01L"	"Y02E"	"H01R"	"germany"	2010	"topic-09"	1	"num-7648371"
"pat0701"	"yr2011"	"Solar Mounting/Rack"	"Berlin"	"N/A"	"N/A"	"Germany"	14	"Solar Mounting/Rack"	"F24J"	"Y02B"	"Y02E"	"F24J"	"Y02E"	"H01L"	"germany"	2011	"topic-14"	1	"num-13/155 515"
"pat0393"	"yr2009"	"Solar Mounting/Rack"	"Albuquerque  NM"	"NM"	"NM"	"USA"	2	"Solar Mounting/Rack"	"H01L"	"F24J"	"Y02E"	"F24J"	"Y02E"	"H01L"	"NM"	2009	"topic-02"	1	"num-12/200 168"
"pat0666"	"yr2012"	"Solar Mounting/Rack"	"Ballston Lake  NY"	"NY"	"NY"	"USA"	14	"Solar Mounting/Rack"	"F24J"	"E04B"		"F24J"	"Y02E"	"H01L"	"NY"	2012	"topic-14"	1	"num-13/079 947"
"pat0651"	"yr2011"	"Solar Mounting/Rack"	"Santa Rosa  CA"	"CA"	"CA"	"USA"	8	"Solar Inverter"	"H01L"			"H01L"	"Y02E"	"Y02B"	"Bay_Area"	2011	"topic-08"	1	"num-13/050 812"
"pat0639"	"yr2011"	"Solar Inverter"	"Niestetal"	"N/A"	"N/A"	"Germany"	8	"Solar Inverter"	"H02H"			"H01L"	"Y02E"	"Y02B"	"germany"	2011	"topic-08"	1	"num-13/029 585"
"pat0099"	"yr2010"	"Solar Inverter"	"Los Gatos  CA"	"CA"	"CA"	"USA"	8	"Solar Inverter"	"Y02E"	"H01L"		"H01L"	"Y02E"	"Y02B"	"Bay_Area"	2010	"topic-08"	1	"num-7807919"
