pat_id, title, USPA#, kind_code, date, serial#, series_code, field_date, us_class, pub_class, int_class, assignee, city, state
pat3395, SYSTEM AND METHOD FOR MOUNTING PHOTOVOLTAIC CELLS, 20080149163, A1, June 26  2008, 947718, 11, November 29  2007, 136/246 ; 136/251; 156/293, 136/246 ; 136/251; 156/293, H01L 31/02008 20130101; H01L 31/048 20130101; H01L 31/0483 20130101; Y02B 10/12 20130101; Y02E 10/50 20130101, , , 
pat3396, SYSTEM AND METHOD FOR CREATING A CLOSED-LOOP RIPARIAN GEOTHERMAL INFRASTRUCTURE, 20080148733, A1, June 26  2008, 747061, 11, May 10  2007, 60/641.7 ; 60/641.6; 62/238.7, 60/641.7 ; 60/641.6; 62/238.7, B60K 16/00 20130101; B60K 2016/003 20130101; B60K 2016/006 20130101; B60L 8/00 20130101; B60L 8/006 20130101; F03D 9/002 20130101; F03D 9/007 20130101; F03D 9/021 20130101; F03D 11/04 20130101; F05B 2220/61 20130101; F05B 2240/212 20130101; F05B 2240/911 20130101; F05B 2240/9113 20130101; F05B 2240/941 20130101; F05B 2250/25 20130101; F05B 2250/82 20130101; F24J 3/081 20130101; H02N 6/00 20130101; Y02B 10/30 20130101; Y02B 10/70 20130101; Y02E 10/12 20130101; Y02E 10/34 20130101; Y02E 10/465 20130101; Y02E 10/72 20130101; Y02E 10/725 20130101; Y02E 10/728 20130101; Y02E 70/10 20130101; Y02T 10/6269 20130101; Y02T 10/7083 20130101, , , 
pat3397, System and Method for Creating a Geothermal Roadway Utility, 20080148732, A1, June 26  2008, 742339, 11, April 30  2007, 60/641.3 ; 60/641.2, 60/641.3 ; 60/641.2, B60K 16/00 20130101; B60K 2016/003 20130101; B60K 2016/006 20130101; B60L 8/00 20130101; B60L 8/006 20130101; F03D 9/002 20130101; F03D 9/007 20130101; F03D 9/021 20130101; F05B 2220/61 20130101; F05B 2240/212 20130101; F05B 2240/9113 20130101; F05B 2240/941 20130101; F05B 2250/25 20130101; F05B 2250/82 20130101; F24J 3/081 20130101; H02N 6/00 20130101; Y02B 10/30 20130101; Y02B 10/70 20130101; Y02E 10/12 20130101; Y02E 10/34 20130101; Y02E 10/465 20130101; Y02E 10/72 20130101; Y02E 10/725 20130101; Y02E 70/10 20130101; Y02T 10/6269 20130101; Y02T 10/7083 20130101, , , 
pat3398, Telemetric apparatus for health and environmental monitoring, 20080146890, A1, June 19  2008, 811844, 11, June 12  2007, 600/300, 600/300, A61B 5/0059 20130101; A61B 5/0205 20130101; A61B 5/021 20130101; A61B 5/02438 20130101; A61B 5/0816 20130101; A61B 5/087 20130101; A61B 5/11 20130101; A61B 5/14546 20130101; A61B 5/1455 20130101; A61B 5/411 20130101; A61B 5/415 20130101; A61B 5/418 20130101; A61B 5/6817 20130101; A61B 5/6887 20130101; A61B 2560/0242 20130101, , , 
pat3399, SYSTEM AND PROCESS FOR FABRICATING PHOTOVOLTAIC CELL, 20080145521, A1, June 19  2008, 953069, 11, December 9  2007, 427/75 ; 118/301; 118/504; 118/721, 427/75 ; 118/504; 118/301; 118/721, C23C 14/042 20130101; H01L 27/1423 20130101; H01L 31/022425 20130101; H01L 31/035281 20130101; H01L 31/03529 20130101; H01L 31/0392 20130101; H01L 31/18 20130101; Y02E 10/50 20130101, , , 
pat3400, Optic spacing nubs, 20080142000, A1, June 19  2008, 640052, 11, December 15  2006, 126/688, 126/688, F24J 2/13 20130101; F24J 2/18 20130101; F24J 2/50 20130101; F24J 2/52 20130101; F24J 2002/4676 20130101; H01L 31/0522 20130101; Y02E 10/47 20130101; Y02E 10/52 20130101, , , 
pat3401, SOLAR HEATING SYSTEM AND METHOD OF FORMING A PANEL ASSEMBLY THEREFOR, 20080141999, A1, June 19  2008, 954405, 11, December 12  2007, 126/621 ; 29/890.033, 126/621 ; 29/890.033, F24J 2/045 20130101; F24J 2/268 20130101; Y02B 10/20 20130101; Y02E 10/44 20130101, , , 
pat3402, Reciprocating devices, 20080141921, A1, June 19  2008, 545053, 11, October 6  2006, 114/274, 114/274, B63B 1/28 20130101; B63H 5/125 20130101; B63H 21/14 20130101; B63H 21/20 20130101; B63H 2021/205 20130101; F01L 1/0532 20130101; F01L 1/06 20130101; F01L 1/12 20130101; F01L 1/146 20130101; F01L 1/185 20130101; F01L 1/20 20130101; F01L 1/28 20130101; F01L 1/36 20130101; F01L 1/46 20130101; F01L 3/02 20130101; F01L 3/22 20130101; F01L 2001/0537 20130101; F01L 2101/00 20130101; F01L 2101/02 20130101; F01L 2105/00 20130101; Y02T 70/5209 20130101; Y02T 70/5218 20130101; Y02T 70/5236 20130101; Y02T 70/5281 20130101; Y02T 90/46 20130101, , , 
pat3403, Toy set with sensor and controller or actuator, 20080139083, A1, June 12  2008, 983403, 11, November 8  2007, 446/397 ; 446/431, 446/397 ; 446/431, A63H 19/24 20130101, , , 
pat3404, BARRIER LAYER  COMPOSITE ARTICLE COMPRISING THE SAME  ELECTROACTIVE DEVICE  AND METHOD, 20080138624, A1, June 12  2008, 567313, 11, December 6  2006, 428/412 ; 428/469, 428/412 ; 428/469, C23C 18/18 20130101; C23C 18/31 20130101; C23C 28/00 20130101; C25D 13/02 20130101; C25D 13/20 20130101; H01L 51/5237 20130101; H01L 51/5268 20130101; H05B 33/22 20130101, , , 
